player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Luis Abram,pe PER,DF,Granada,26-074,1996,8.0,6.0,560.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.08,0.0,0.08,0.08,0.08,6.2,2.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.24,-0.5,-0.5,194.0,220.0,88.2,4320.0,1153.0,42.0,46.0,91.3,115.0,124.0,92.7,36.0,48.0,75.0,0.0,0.0,8.0,0.0,0.0,9.0,211.0,9.0,5.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,175.0,15.0,30.0,181.0,22.0,11.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.48,1.0,0.0,0.0,2.0,0.0,1.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,5.0,1.0,1.0,3.0,4.0,75.0,1.0,35.0,13.0,37.1,14.0,20.0,1.0,13.0,5.0,2.0,8.0,11.0,39.0,1.0,290.0,63.0,186.0,113.0,7.0,5.0,282.0,0.0,0.0,0.0,0.0,0.0,156.0,803.0,478.0,7.0,0.0,0.0,187.0,182.0,97.3,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,25.0,12.0,15.0,44.4
Marcos Acuña,ar ARG,DF,Sevilla,30-196,1991,29.0,24.0,2080.0,1.0,3.0,0.0,0.0,8.0,0.0,0.04,0.13,0.17,0.04,0.17,1.4,1.4,3.0,0.06,0.13,0.19,0.06,0.19,23.1,15.0,4.0,1.0,26.7,0.65,0.17,0.07,0.25,0.09,-0.4,-0.4,1432.0,1803.0,79.4,29519.0,11006.0,545.0,587.0,92.8,620.0,729.0,85.0,255.0,435.0,58.6,0.0,40.0,97.0,40.0,22.0,115.0,1494.0,309.0,52.0,3.0,148.0,98.0,114.0,38.0,1.0,28.0,1.0,1054.0,287.0,462.0,1339.0,175.0,45.0,219.0,3.0,6.0,26.0,56.0,41.0,64.0,2.77,41.0,16.0,1.0,2.0,4.0,3.0,0.13,1.0,2.0,0.0,0.0,0.0,0.0,54.0,36.0,30.0,14.0,10.0,19.0,33.0,57.6,14.0,266.0,90.0,33.8,120.0,104.0,42.0,30.0,3.0,0.0,27.0,27.0,29.0,0.0,2018.0,61.0,616.0,953.0,591.0,19.0,1726.0,42.0,59.0,71.2,44.0,3.0,1350.0,6726.0,4122.0,147.0,44.0,5.0,1419.0,1348.0,95.0,25.0,26.0,0.0,37.0,47.0,0.0,0.0,1.0,0.0,207.0,28.0,35.0,44.4
Martin Agirregabiria,es ESP,DF,Alavés,26-002,1996,23.0,16.0,1554.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,0.9,0.01,0.05,0.06,0.01,0.06,17.3,5.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.03,-0.2,-0.2,548.0,769.0,71.3,10241.0,5292.0,223.0,267.0,83.5,266.0,348.0,76.4,57.0,134.0,42.5,0.1,13.0,50.0,18.0,10.0,55.0,588.0,181.0,7.0,0.0,77.0,16.0,38.0,1.0,0.0,0.0,0.0,366.0,175.0,228.0,35.0,492.0,49.0,173.0,2.0,3.0,19.0,31.0,28.0,25.0,1.45,19.0,2.0,1.0,0.0,3.0,2.0,0.12,1.0,0.0,1.0,0.0,0.0,0.0,41.0,22.0,22.0,11.0,8.0,22.0,41.0,53.7,19.0,216.0,57.0,26.4,93.0,95.0,28.0,29.0,3.0,0.0,26.0,25.0,44.0,0.0,947.0,50.0,291.0,462.0,233.0,11.0,770.0,14.0,19.0,73.7,14.0,1.0,456.0,1804.0,1079.0,45.0,17.0,2.0,524.0,452.0,86.3,10.0,9.0,0.0,29.0,26.0,1.0,0.0,1.0,0.0,147.0,34.0,37.0,47.9
Julen Agirrezabala,es ESP,GK,Athletic Club,21-137,2000,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,82.0,74.4,1695.0,1037.0,14.0,14.0,100.0,30.0,30.0,100.0,16.0,37.0,43.2,0.0,0.0,1.0,0.0,0.0,0.0,48.0,34.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,33.0,30.0,36.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,75.0,95.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,38.0,159.0,75.0,0.0,0.0,0.0,26.0,25.0,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Sergio Agüero,ar ARG,FW,Barcelona,33-344,1988,4.0,2.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,1.1,1.1,0.3,0.64,0.16,0.8,0.64,0.8,1.7,6.0,1.0,0.0,16.7,3.58,0.6,0.17,1.0,0.18,-0.1,-0.1,31.0,43.0,72.1,469.0,43.0,18.0,25.0,72.0,10.0,15.0,66.7,2.0,2.0,100.0,-0.3,1.0,2.0,0.0,0.0,2.0,41.0,2.0,0.0,1.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,24.0,9.0,10.0,5.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.79,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,18.0,4.0,22.2,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,28.0,33.0,15.0,57.0,1.0,1.0,100.0,1.0,0.0,38.0,237.0,110.0,7.0,2.0,2.0,78.0,53.0,67.9,5.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,66.7
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,22-098,2000,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,24.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Joseph Aidoo,gh GHA,DF,Celta Vigo,26-225,1995,30.0,28.0,2457.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.02,0.0,0.02,0.02,0.02,27.3,6.0,1.0,0.0,16.7,0.22,0.04,0.0,0.0,0.07,-0.4,-0.4,1200.0,1444.0,83.1,27514.0,7709.0,279.0,315.0,88.6,623.0,695.0,89.6,283.0,406.0,69.7,-0.1,3.0,98.0,7.0,1.0,92.0,1414.0,30.0,15.0,2.0,153.0,36.0,2.0,0.0,0.0,0.0,0.0,1055.0,111.0,278.0,233.0,1062.0,90.0,15.0,10.0,2.0,29.0,35.0,15.0,12.0,0.44,11.0,0.0,0.0,1.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,54.0,37.0,42.0,8.0,4.0,20.0,31.0,64.5,11.0,295.0,116.0,39.3,191.0,93.0,11.0,47.0,17.0,0.0,30.0,52.0,117.0,2.0,1715.0,218.0,921.0,861.0,46.0,11.0,1687.0,8.0,9.0,88.9,8.0,1.0,1127.0,6655.0,3705.0,102.0,7.0,1.0,1122.0,1110.0,98.9,8.0,9.0,0.0,10.0,18.0,1.0,0.0,0.0,1.0,269.0,71.0,48.0,59.7
Carlos Akapo,gq EQG,DF,Cádiz,29-061,1993,23.0,19.0,1679.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.02,0.02,0.04,0.02,0.04,18.7,9.0,1.0,0.0,11.1,0.48,0.05,0.0,0.0,0.05,-0.5,-0.5,558.0,763.0,73.1,10534.0,4306.0,232.0,273.0,85.0,254.0,322.0,78.9,65.0,136.0,47.8,-0.4,7.0,23.0,13.0,7.0,29.0,616.0,147.0,16.0,1.0,102.0,18.0,29.0,0.0,0.0,0.0,0.0,396.0,170.0,197.0,31.0,517.0,57.0,131.0,2.0,2.0,30.0,21.0,28.0,19.0,1.02,12.0,1.0,2.0,1.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,41.0,24.0,27.0,10.0,4.0,11.0,29.0,37.9,18.0,240.0,84.0,35.0,136.0,75.0,29.0,31.0,8.0,0.0,23.0,56.0,48.0,0.0,972.0,82.0,367.0,434.0,232.0,10.0,829.0,12.0,19.0,63.2,14.0,3.0,486.0,2938.0,1626.0,66.0,31.0,3.0,486.0,427.0,87.9,12.0,10.0,0.0,24.0,25.0,2.0,0.0,1.0,0.0,178.0,38.0,30.0,55.9
Ilias Akhomach,es ESP,FW,Barcelona,18-026,2004,2.0,2.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.08,0.27,0.34,0.08,0.34,1.4,4.0,2.0,0.0,50.0,2.9,1.45,0.0,0.0,0.03,-0.1,-0.1,45.0,53.0,84.9,625.0,193.0,35.0,36.0,97.2,8.0,10.0,80.0,2.0,5.0,40.0,-0.4,3.0,3.0,5.0,1.0,6.0,53.0,0.0,0.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,45.0,3.0,5.0,49.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,5.08,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,14.3,1.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,0.0,7.0,20.0,50.0,8.0,71.0,1.0,3.0,33.3,1.0,1.0,63.0,274.0,169.0,12.0,2.0,3.0,63.0,56.0,88.9,0.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0
Paul Akouokou,ci CIV,MF,Betis,24-143,1997,8.0,6.0,516.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,5.7,2.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.02,0.0,0.0,287.0,328.0,87.5,5344.0,1253.0,117.0,132.0,88.6,129.0,142.0,90.8,33.0,43.0,76.7,-0.1,3.0,28.0,2.0,0.0,28.0,325.0,3.0,3.0,0.0,39.0,10.0,0.0,0.0,0.0,0.0,0.0,259.0,27.0,42.0,27.0,280.0,14.0,0.0,1.0,1.0,9.0,6.0,4.0,6.0,1.05,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,5.0,9.0,3.0,9.0,13.0,69.2,4.0,113.0,38.0,33.6,34.0,67.0,12.0,7.0,0.0,0.0,7.0,12.0,9.0,0.0,380.0,12.0,84.0,255.0,52.0,2.0,377.0,6.0,9.0,66.7,6.0,0.0,258.0,950.0,433.0,17.0,2.0,0.0,279.0,271.0,97.1,4.0,6.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,55.0,9.0,1.0,90.0
