player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Yunis Abdelhamid,ma MAR,DF,Reims,34-226,1987,32.0,32.0,2803.0,2.0,0.0,0.0,0.0,5.0,1.0,0.06,0.0,0.06,0.06,0.06,1.2,1.2,0.3,0.04,0.01,0.05,0.04,0.05,31.1,18.0,6.0,0.0,33.3,0.58,0.19,0.11,0.33,0.07,0.8,0.8,1196.0,1457.0,82.1,25745.0,8744.0,318.0,354.0,89.8,694.0,777.0,89.3,172.0,283.0,60.8,-0.3,7.0,75.0,6.0,0.0,83.0,1359.0,98.0,80.0,0.0,177.0,51.0,1.0,0.0,0.0,0.0,0.0,1089.0,119.0,249.0,986.0,373.0,45.0,14.0,4.0,5.0,32.0,38.0,28.0,20.0,0.64,13.0,0.0,3.0,1.0,0.0,1.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,56.0,41.0,39.0,16.0,1.0,11.0,25.0,44.0,14.0,428.0,150.0,35.0,242.0,159.0,27.0,59.0,24.0,2.0,35.0,103.0,99.0,0.0,1784.0,249.0,1007.0,817.0,90.0,27.0,1693.0,15.0,21.0,71.4,15.0,1.0,1113.0,6346.0,3563.0,88.0,23.0,0.0,1154.0,1120.0,97.1,14.0,13.0,0.0,41.0,23.0,0.0,0.0,0.0,0.0,213.0,64.0,42.0,60.4
Salis Abdul Samed,gh GHA,MF,Clermont Foot,22-047,2000,31.0,29.0,2462.0,1.0,0.0,0.0,0.0,12.0,3.0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,1.1,0.03,0.04,0.07,0.03,0.07,27.4,18.0,5.0,0.0,27.8,0.66,0.18,0.06,0.2,0.04,0.2,0.2,1532.0,1671.0,91.7,28312.0,5052.0,616.0,659.0,93.5,708.0,746.0,94.9,184.0,214.0,86.0,-1.1,15.0,77.0,13.0,1.0,81.0,1651.0,20.0,16.0,1.0,220.0,22.0,10.0,0.0,0.0,0.0,0.0,1440.0,129.0,102.0,132.0,1454.0,52.0,4.0,8.0,2.0,16.0,34.0,23.0,40.0,1.46,30.0,0.0,0.0,4.0,4.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,55.0,34.0,25.0,25.0,5.0,19.0,59.0,32.2,40.0,641.0,179.0,27.9,197.0,336.0,108.0,27.0,1.0,0.0,26.0,51.0,15.0,0.0,1930.0,55.0,621.0,1144.0,299.0,17.0,1914.0,27.0,42.0,64.3,30.0,2.0,1467.0,6755.0,2912.0,78.0,20.0,4.0,1605.0,1484.0,92.5,23.0,40.0,2.0,45.0,35.0,0.0,0.0,0.0,0.0,240.0,24.0,24.0,50.0
Laurent Abergel,fr FRA,MF,Lorient,29-100,1993,32.0,32.0,2780.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.06,0.06,0.0,0.06,1.9,1.9,2.8,0.06,0.09,0.15,0.06,0.15,30.9,27.0,7.0,0.0,25.9,0.87,0.23,0.0,0.0,0.07,-1.9,-1.9,1234.0,1512.0,81.6,23770.0,6298.0,492.0,556.0,88.5,525.0,596.0,88.1,191.0,283.0,67.5,-0.8,28.0,119.0,17.0,6.0,123.0,1485.0,27.0,20.0,6.0,285.0,47.0,24.0,1.0,0.0,0.0,0.0,1133.0,169.0,210.0,141.0,1330.0,21.0,5.0,3.0,7.0,15.0,55.0,54.0,63.0,2.04,46.0,2.0,1.0,1.0,7.0,5.0,0.16,4.0,0.0,0.0,0.0,1.0,0.0,112.0,70.0,48.0,54.0,10.0,55.0,149.0,36.9,94.0,858.0,246.0,28.7,290.0,466.0,102.0,51.0,3.0,0.0,48.0,82.0,11.0,0.0,1881.0,22.0,428.0,1229.0,345.0,15.0,1860.0,41.0,63.0,65.1,43.0,3.0,1384.0,5244.0,2639.0,87.0,34.0,3.0,1394.0,1299.0,93.2,28.0,45.0,0.0,45.0,65.0,1.0,0.0,0.0,0.0,276.0,13.0,12.0,52.0
Charles Abi,fr FRA,FW,Saint-Étienne,22-030,2000,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,24.0,0.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,1.0,7.1,0.0,11.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,9.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,59.0,9.0,0.0,1.0,0.0,12.0,8.0,66.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Matthis Abline,fr FRA,FW,Rennes,19-045,2003,7.0,1.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.03,0.32,0.3,0.32,1.1,2.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.17,-0.3,-0.3,8.0,10.0,80.0,100.0,22.0,4.0,6.0,66.7,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,4.0,15.4,4.0,14.0,8.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,25.0,2.0,2.0,11.0,12.0,3.0,25.0,1.0,2.0,50.0,1.0,0.0,18.0,68.0,35.0,3.0,0.0,0.0,39.0,13.0,33.3,2.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Martin Adeline,fr FRA,"MF,FW",Reims,18-161,2003,8.0,2.0,352.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.11,0.09,0.21,0.11,0.21,3.9,4.0,1.0,0.0,25.0,1.02,0.26,0.0,0.0,0.11,-0.4,-0.4,107.0,146.0,73.3,1847.0,555.0,44.0,55.0,80.0,48.0,60.0,80.0,9.0,15.0,60.0,-0.4,3.0,10.0,2.0,0.0,11.0,140.0,6.0,2.0,0.0,49.0,1.0,2.0,4.0,0.0,4.0,0.0,116.0,10.0,20.0,25.0,116.0,3.0,0.0,0.0,1.0,8.0,12.0,8.0,8.0,2.05,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,8.0,5.0,1.0,5.0,15.0,33.3,10.0,102.0,28.0,27.5,37.0,44.0,21.0,4.0,0.0,0.0,4.0,14.0,6.0,0.0,195.0,9.0,51.0,92.0,61.0,6.0,189.0,3.0,5.0,60.0,3.0,1.0,121.0,625.0,300.0,8.0,1.0,0.0,134.0,107.0,79.9,8.0,3.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,40.0,2.0,8.0,20.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,21-287,2000,36.0,25.0,2260.0,1.0,7.0,0.0,0.0,5.0,0.0,0.04,0.28,0.32,0.04,0.32,2.2,2.2,5.5,0.09,0.22,0.3,0.09,0.3,25.1,33.0,15.0,4.0,45.5,1.31,0.6,0.03,0.07,0.07,-1.2,-1.2,910.0,1237.0,73.6,19345.0,6364.0,360.0,426.0,84.5,352.0,432.0,81.5,188.0,331.0,56.8,1.5,57.0,112.0,39.0,4.0,148.0,1110.0,127.0,43.0,3.0,197.0,91.0,39.0,67.0,37.0,18.0,1.0,814.0,141.0,282.0,126.0,1054.0,23.0,10.0,4.0,7.0,31.0,60.0,39.0,103.0,4.1,67.0,20.0,4.0,3.0,6.0,13.0,0.52,10.0,2.0,0.0,0.0,1.0,0.0,48.0,34.0,26.0,17.0,5.0,15.0,67.0,22.4,52.0,625.0,182.0,29.1,166.0,319.0,140.0,41.0,3.0,0.0,38.0,54.0,15.0,1.0,1555.0,28.0,290.0,860.0,520.0,57.0,1435.0,44.0,79.0,55.7,48.0,3.0,1084.0,6033.0,3113.0,154.0,48.0,15.0,1274.0,1094.0,85.9,46.0,65.0,0.0,27.0,33.0,4.0,0.0,0.0,0.0,161.0,24.0,20.0,54.5
Lucien Agoume,fr FRA,MF,Brest,20-092,2002,26.0,20.0,1778.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.4,0.06,0.02,0.08,0.05,0.07,19.8,16.0,1.0,0.0,6.3,0.81,0.05,0.0,0.0,0.07,-1.1,-1.0,789.0,937.0,84.2,15040.0,3922.0,333.0,379.0,87.9,308.0,350.0,88.0,126.0,158.0,79.7,-0.4,11.0,65.0,10.0,0.0,75.0,908.0,29.0,22.0,1.0,150.0,30.0,4.0,1.0,0.0,0.0,1.0,691.0,106.0,140.0,116.0,757.0,36.0,0.0,4.0,3.0,10.0,29.0,24.0,30.0,1.52,23.0,1.0,0.0,4.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,55.0,40.0,24.0,25.0,6.0,16.0,29.0,55.2,13.0,361.0,111.0,30.7,112.0,200.0,49.0,32.0,10.0,0.0,22.0,55.0,30.0,0.0,1142.0,55.0,343.0,657.0,208.0,35.0,1114.0,20.0,29.0,69.0,21.0,2.0,730.0,3444.0,1704.0,51.0,15.0,4.0,755.0,706.0,93.5,9.0,20.0,0.0,33.0,17.0,0.0,0.0,1.0,0.0,202.0,30.0,29.0,50.8
Nayef Aguerd,ma MAR,DF,Rennes,26-043,1996,29.0,29.0,2555.0,2.0,2.0,0.0,0.0,3.0,1.0,0.07,0.07,0.14,0.07,0.14,1.9,1.9,0.4,0.07,0.01,0.08,0.07,0.08,28.4,25.0,7.0,0.0,28.0,0.88,0.25,0.08,0.29,0.07,0.1,0.1,1852.0,2058.0,90.0,42717.0,13929.0,455.0,488.0,93.2,963.0,1009.0,95.4,424.0,539.0,78.7,1.6,3.0,106.0,2.0,0.0,81.0,1996.0,62.0,57.0,1.0,177.0,98.0,2.0,0.0,0.0,0.0,0.0,1704.0,94.0,260.0,1752.0,205.0,53.0,5.0,4.0,3.0,21.0,35.0,16.0,11.0,0.39,9.0,0.0,0.0,1.0,1.0,4.0,0.14,3.0,0.0,0.0,0.0,1.0,0.0,30.0,12.0,17.0,13.0,0.0,7.0,18.0,38.9,11.0,182.0,62.0,34.1,96.0,82.0,4.0,27.0,11.0,0.0,16.0,51.0,146.0,2.0,2339.0,275.0,1187.0,1233.0,56.0,35.0,2281.0,5.0,6.0,83.3,5.0,0.0,1659.0,8160.0,4389.0,73.0,5.0,0.0,1799.0,1773.0,98.6,7.0,6.0,0.0,18.0,14.0,1.0,1.0,2.0,0.0,214.0,102.0,41.0,71.3
Ruben Aguilar,fr FRA,DF,Monaco,29-016,1993,26.0,20.0,1960.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.09,0.09,0.0,0.09,0.2,0.2,0.6,0.01,0.03,0.03,0.01,0.03,21.8,8.0,1.0,0.0,12.5,0.37,0.05,0.0,0.0,0.02,-0.2,-0.2,1351.0,1608.0,84.0,23787.0,9190.0,633.0,685.0,92.4,595.0,683.0,87.1,111.0,199.0,55.8,1.4,10.0,120.0,31.0,6.0,137.0,1348.0,260.0,35.0,3.0,150.0,34.0,46.0,1.0,0.0,1.0,0.0,1033.0,313.0,262.0,26.0,1284.0,40.0,224.0,10.0,6.0,19.0,47.0,35.0,22.0,1.01,18.0,1.0,0.0,0.0,2.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,85.0,48.0,44.0,31.0,10.0,43.0,68.0,63.2,25.0,393.0,129.0,32.8,176.0,162.0,55.0,34.0,4.0,0.0,30.0,55.0,61.0,1.0,1872.0,75.0,499.0,1007.0,470.0,26.0,1623.0,8.0,15.0,53.3,10.0,0.0,1092.0,5163.0,3122.0,144.0,42.0,3.0,1225.0,1136.0,92.7,14.0,9.0,0.0,31.0,28.0,1.0,0.0,0.0,1.0,214.0,36.0,36.0,50.0
