player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Max Aarons,eng ENG,DF,Norwich City,22-128,2000,32.0,30.0,2701.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.03,0.03,0.0,0.03,0.7,0.7,1.3,0.02,0.04,0.07,0.02,0.07,30.0,12.0,2.0,0.0,16.7,0.4,0.07,0.0,0.0,0.06,-0.7,-0.7,1033.0,1371.0,75.3,17442.0,6633.0,529.0,588.0,90.0,403.0,525.0,76.8,91.0,203.0,44.8,-0.3,17.0,47.0,35.0,8.0,90.0,1040.0,331.0,25.0,2.0,162.0,18.0,43.0,0.0,0.0,0.0,0.0,798.0,296.0,277.0,151.0,873.0,27.0,306.0,2.0,7.0,26.0,50.0,54.0,35.0,1.17,26.0,1.0,3.0,3.0,2.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,66.0,37.0,47.0,19.0,0.0,37.0,57.0,64.9,20.0,408.0,109.0,26.7,239.0,132.0,37.0,85.0,21.0,0.0,64.0,52.0,68.0,0.0,1767.0,155.0,710.0,723.0,460.0,27.0,1448.0,31.0,74.0,41.9,33.0,6.0,1016.0,6007.0,3633.0,158.0,49.0,11.0,1084.0,978.0,90.2,24.0,29.0,0.0,30.0,55.0,1.0,0.0,2.0,1.0,167.0,15.0,48.0,23.8
Che Adams,sct SCO,FW,Southampton,25-303,1996,28.0,23.0,2002.0,7.0,3.0,0.0,0.0,0.0,0.0,0.31,0.13,0.45,0.31,0.45,6.9,6.9,2.7,0.31,0.12,0.43,0.31,0.43,22.2,48.0,24.0,0.0,50.0,2.16,1.08,0.15,0.29,0.14,0.1,0.1,328.0,472.0,69.5,5104.0,1022.0,183.0,235.0,77.9,100.0,133.0,75.2,27.0,49.0,55.1,0.3,26.0,20.0,13.0,1.0,34.0,456.0,16.0,0.0,4.0,134.0,10.0,11.0,0.0,0.0,0.0,0.0,300.0,97.0,75.0,44.0,340.0,27.0,1.0,15.0,2.0,10.0,26.0,30.0,51.0,2.29,34.0,0.0,1.0,4.0,11.0,4.0,0.18,3.0,0.0,0.0,0.0,0.0,1.0,16.0,9.0,4.0,6.0,6.0,2.0,15.0,13.3,13.0,329.0,88.0,26.7,39.0,132.0,158.0,25.0,4.0,0.0,21.0,10.0,16.0,0.0,751.0,27.0,93.0,325.0,367.0,99.0,735.0,13.0,32.0,40.6,16.0,0.0,462.0,1809.0,825.0,46.0,17.0,11.0,1000.0,527.0,52.7,50.0,48.0,0.0,31.0,47.0,7.0,0.0,0.0,0.0,120.0,56.0,110.0,33.7
Rayan Aït Nouri,fr FRA,DF,Wolves,20-340,2001,21.0,18.0,1648.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.11,0.11,0.0,0.11,0.6,0.6,1.3,0.03,0.07,0.1,0.03,0.1,18.3,10.0,2.0,0.0,20.0,0.55,0.11,0.0,0.0,0.06,-0.6,-0.6,663.0,893.0,74.2,11411.0,3999.0,345.0,376.0,91.8,247.0,321.0,76.9,67.0,156.0,42.9,0.7,16.0,22.0,14.0,9.0,38.0,698.0,195.0,15.0,1.0,118.0,32.0,49.0,29.0,8.0,17.0,2.0,493.0,191.0,209.0,603.0,91.0,38.0,151.0,0.0,2.0,26.0,27.0,29.0,42.0,2.29,24.0,10.0,4.0,0.0,2.0,6.0,0.33,4.0,1.0,0.0,0.0,1.0,0.0,70.0,40.0,51.0,13.0,6.0,27.0,44.0,61.4,17.0,379.0,126.0,33.2,222.0,108.0,49.0,32.0,2.0,0.0,30.0,32.0,31.0,1.0,1146.0,55.0,423.0,436.0,350.0,42.0,956.0,39.0,69.0,56.5,43.0,2.0,694.0,3297.0,2101.0,105.0,22.0,16.0,735.0,649.0,88.3,27.0,30.0,0.0,18.0,20.0,3.0,1.0,0.0,0.0,118.0,18.0,19.0,48.6
Kristoffer Ajer,no NOR,DF,Brentford,24-025,1998,22.0,21.0,1847.0,1.0,3.0,0.0,0.0,4.0,0.0,0.05,0.15,0.19,0.05,0.19,0.8,0.8,1.4,0.04,0.07,0.11,0.04,0.11,20.5,7.0,1.0,0.0,14.3,0.34,0.05,0.14,1.0,0.12,0.2,0.2,557.0,781.0,71.3,10038.0,4872.0,223.0,269.0,82.9,260.0,331.0,78.5,59.0,130.0,45.4,1.6,6.0,45.0,9.0,1.0,70.0,639.0,142.0,7.0,0.0,126.0,8.0,12.0,0.0,0.0,0.0,0.0,387.0,205.0,189.0,39.0,503.0,60.0,135.0,2.0,4.0,22.0,29.0,36.0,26.0,1.27,19.0,4.0,1.0,1.0,1.0,6.0,0.29,3.0,1.0,1.0,0.0,1.0,0.0,38.0,21.0,24.0,11.0,3.0,18.0,33.0,54.5,15.0,194.0,68.0,35.1,104.0,64.0,26.0,36.0,13.0,1.0,23.0,47.0,78.0,1.0,1006.0,112.0,422.0,475.0,172.0,31.0,867.0,11.0,16.0,68.8,11.0,0.0,494.0,2988.0,1787.0,65.0,24.0,2.0,524.0,466.0,88.9,12.0,11.0,0.0,16.0,19.0,0.0,0.0,0.0,0.0,170.0,59.0,38.0,60.8
Nathan Aké,nl NED,DF,Manchester City,27-083,1995,14.0,10.0,923.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,1.2,1.2,0.5,0.11,0.05,0.16,0.11,0.16,10.3,5.0,2.0,0.0,40.0,0.49,0.2,0.4,1.0,0.23,0.8,0.8,780.0,855.0,91.2,14444.0,4178.0,331.0,351.0,94.3,364.0,395.0,92.2,80.0,98.0,81.6,-0.5,2.0,53.0,3.0,0.0,31.0,813.0,42.0,16.0,0.0,71.0,5.0,0.0,0.0,0.0,0.0,0.0,716.0,67.0,72.0,621.0,155.0,28.0,26.0,2.0,0.0,10.0,7.0,8.0,3.0,0.29,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,6.0,8.0,1.0,4.0,7.0,57.1,3.0,70.0,23.0,32.9,26.0,37.0,7.0,12.0,5.0,0.0,7.0,18.0,31.0,0.0,936.0,67.0,351.0,546.0,115.0,9.0,896.0,0.0,2.0,0.0,0.0,0.0,680.0,3560.0,2226.0,74.0,13.0,0.0,754.0,724.0,96.0,2.0,1.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,78.0,41.0,8.0,83.7
Marc Albrighton,eng ENG,"FW,DF",Leicester City,32-175,1989,16.0,11.0,1087.0,1.0,1.0,0.0,0.0,3.0,0.0,0.08,0.08,0.17,0.08,0.17,0.5,0.5,1.3,0.04,0.11,0.15,0.04,0.15,12.1,4.0,1.0,0.0,25.0,0.33,0.08,0.25,1.0,0.13,0.5,0.5,332.0,534.0,62.2,5313.0,2282.0,195.0,229.0,85.2,109.0,165.0,66.1,22.0,103.0,21.4,-0.3,9.0,21.0,8.0,3.0,30.0,435.0,99.0,15.0,0.0,96.0,33.0,29.0,37.0,25.0,7.0,1.0,297.0,108.0,129.0,36.0,425.0,20.0,46.0,1.0,4.0,5.0,31.0,37.0,16.0,1.32,11.0,3.0,0.0,0.0,2.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,32.0,15.0,16.0,9.0,7.0,9.0,39.0,23.1,30.0,274.0,59.0,21.5,90.0,135.0,49.0,27.0,5.0,1.0,22.0,25.0,9.0,0.0,668.0,34.0,153.0,307.0,243.0,12.0,570.0,16.0,35.0,45.7,18.0,4.0,397.0,1629.0,746.0,29.0,11.0,2.0,492.0,387.0,78.7,14.0,12.0,0.0,8.0,15.0,1.0,0.0,0.0,0.0,76.0,6.0,11.0,35.3
Thiago Alcántara,es ESP,MF,Liverpool,31-031,1991,24.0,16.0,1489.0,1.0,3.0,0.0,0.0,2.0,0.0,0.06,0.18,0.24,0.06,0.24,1.8,1.8,2.0,0.11,0.12,0.23,0.11,0.23,16.5,23.0,6.0,0.0,26.1,1.39,0.36,0.04,0.17,0.09,-0.8,-0.8,1285.0,1434.0,89.6,27055.0,7047.0,446.0,482.0,92.5,592.0,638.0,92.8,236.0,284.0,83.1,1.0,27.0,190.0,22.0,1.0,168.0,1415.0,19.0,12.0,2.0,213.0,60.0,2.0,1.0,0.0,1.0,0.0,1108.0,131.0,195.0,95.0,1265.0,35.0,3.0,5.0,2.0,14.0,42.0,22.0,60.0,3.63,51.0,0.0,1.0,5.0,0.0,5.0,0.3,5.0,0.0,0.0,0.0,0.0,0.0,56.0,39.0,17.0,29.0,10.0,11.0,38.0,28.9,27.0,307.0,113.0,36.8,84.0,156.0,67.0,26.0,2.0,0.0,24.0,35.0,18.0,2.0,1615.0,37.0,256.0,1077.0,385.0,26.0,1599.0,15.0,24.0,62.5,15.0,0.0,1195.0,5357.0,2866.0,156.0,46.0,4.0,1277.0,1224.0,95.8,9.0,13.0,0.0,24.0,25.0,0.0,0.0,0.0,0.0,209.0,37.0,16.0,69.8
Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-217,1998,31.0,31.0,2763.0,2.0,12.0,0.0,0.0,2.0,0.0,0.07,0.39,0.46,0.07,0.46,2.5,2.5,10.5,0.08,0.34,0.43,0.08,0.43,30.7,48.0,13.0,5.0,27.1,1.56,0.42,0.04,0.15,0.05,-0.5,-0.5,1953.0,2627.0,74.3,43092.0,17414.0,710.0,803.0,88.4,787.0,978.0,80.5,435.0,763.0,57.0,1.5,84.0,220.0,84.0,23.0,267.0,2090.0,537.0,90.0,18.0,235.0,191.0,121.0,127.0,27.0,87.0,2.0,1361.0,465.0,801.0,271.0,1958.0,59.0,320.0,6.0,6.0,38.0,101.0,76.0,140.0,4.56,81.0,50.0,4.0,4.0,1.0,17.0,0.55,11.0,5.0,0.0,1.0,0.0,0.0,44.0,24.0,22.0,15.0,7.0,23.0,59.0,39.0,36.0,281.0,94.0,33.5,111.0,87.0,83.0,38.0,5.0,1.0,33.0,74.0,43.0,1.0,2920.0,76.0,588.0,1375.0,1085.0,85.0,2384.0,25.0,42.0,59.5,25.0,0.0,1673.0,5809.0,3159.0,146.0,62.0,10.0,1948.0,1819.0,93.4,22.0,24.0,0.0,16.0,9.0,9.0,0.0,0.0,0.0,308.0,18.0,22.0,45.0
Alisson,br BRA,GK,Liverpool,29-222,1992,34.0,34.0,3060.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.0,0.01,0.01,0.0,0.01,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.0,1286.0,86.6,29785.0,16328.0,174.0,177.0,98.3,625.0,632.0,98.9,312.0,474.0,65.8,0.6,2.0,13.0,0.0,0.0,0.0,1060.0,226.0,60.0,2.0,89.0,36.0,0.0,0.0,0.0,0.0,0.0,918.0,66.0,302.0,93.0,975.0,3.0,0.0,185.0,0.0,16.0,18.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,2.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1381.0,1037.0,1370.0,14.0,0.0,0.0,1156.0,2.0,3.0,66.7,2.0,0.0,787.0,2737.0,1483.0,0.0,0.0,0.0,787.0,781.0,99.2,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,210.0,0.0,0.0,0.0
Allan,br BRA,MF,Everton,31-124,1991,28.0,25.0,2183.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.9,0.01,0.04,0.04,0.01,0.04,24.3,7.0,3.0,0.0,42.9,0.29,0.12,0.0,0.0,0.03,-0.2,-0.2,757.0,967.0,78.3,14541.0,4232.0,284.0,332.0,85.5,354.0,426.0,83.1,99.0,157.0,63.1,1.1,15.0,100.0,19.0,2.0,106.0,905.0,62.0,21.0,0.0,156.0,17.0,6.0,0.0,0.0,0.0,0.0,666.0,112.0,189.0,87.0,824.0,34.0,10.0,3.0,5.0,16.0,44.0,29.0,32.0,1.32,31.0,0.0,0.0,0.0,1.0,6.0,0.25,5.0,0.0,0.0,0.0,1.0,0.0,77.0,61.0,31.0,41.0,5.0,26.0,88.0,29.5,62.0,648.0,204.0,31.5,260.0,327.0,61.0,46.0,9.0,0.0,37.0,42.0,40.0,0.0,1235.0,81.0,338.0,759.0,210.0,11.0,1175.0,16.0,24.0,66.7,16.0,3.0,763.0,3839.0,2018.0,106.0,28.0,2.0,710.0,657.0,92.5,19.0,31.0,0.0,39.0,28.0,0.0,1.0,0.0,0.0,272.0,12.0,13.0,48.0
Dele Alli,eng ENG,"MF,FW",Tottenham,26-031,1996,10.0,8.0,657.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14,0.0,0.14,0.0,0.0,1.5,0.7,0.8,0.2,0.11,0.31,0.1,0.21,7.3,4.0,2.0,0.0,50.0,0.55,0.27,0.0,0.0,0.18,-0.5,-0.7,91.0,121.0,75.2,1484.0,424.0,42.0,53.0,79.2,33.0,41.0,80.5,9.0,15.0,60.0,-0.3,5.0,7.0,3.0,1.0,9.0,202.0,12.0,6.0,0.0,42.0,2.0,3.0,0.0,0.0,0.0,0.0,149.0,33.0,32.0,10.0,180.0,12.0,3.0,3.0,1.0,2.0,11.0,7.0,8.0,3.17,7.0,1.0,0.0,0.0,0.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,11.0,6.0,2.0,5.0,17.0,29.4,12.0,209.0,55.0,26.3,81.0,92.0,36.0,25.0,5.0,0.0,20.0,17.0,12.0,0.0,331.0,23.0,87.0,172.0,97.0,20.0,321.0,5.0,18.0,27.8,7.0,2.0,213.0,908.0,446.0,17.0,6.0,0.0,262.0,199.0,76.0,12.0,18.0,0.0,13.0,15.0,2.0,1.0,0.0,0.0,46.0,11.0,13.0,45.8
Dele Alli,eng ENG,MF,Everton,26-031,1996,9.0,0.0,227.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.03,0.1,0.13,0.03,0.13,2.5,3.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.03,-0.1,-0.1,167.0,214.0,78.0,2687.0,651.0,94.0,108.0,87.0,56.0,69.0,81.2,14.0,27.0,51.9,-0.8,2.0,13.0,5.0,0.0,19.0,113.0,8.0,2.0,1.0,29.0,1.0,3.0,1.0,0.0,0.0,0.0,88.0,19.0,14.0,4.0,104.0,2.0,4.0,1.0,3.0,3.0,9.0,3.0,8.0,1.1,5.0,0.0,0.0,0.0,3.0,1.0,0.14,0.0,0.0,0.0,0.0,1.0,0.0,11.0,6.0,4.0,5.0,2.0,3.0,10.0,30.0,7.0,97.0,23.0,23.7,22.0,51.0,24.0,5.0,1.0,0.0,4.0,7.0,6.0,0.0,174.0,10.0,32.0,96.0,56.0,12.0,167.0,4.0,6.0,66.7,4.0,1.0,109.0,541.0,293.0,12.0,5.0,1.0,131.0,103.0,78.6,7.0,10.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,32.0,8.0,8.0,50.0
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,28-091,1994,28.0,17.0,1553.0,1.0,0.0,0.0,0.0,2.0,0.0,0.06,0.0,0.06,0.06,0.06,2.0,2.0,0.6,0.11,0.04,0.15,0.11,0.15,17.3,30.0,7.0,0.0,23.3,1.74,0.41,0.03,0.14,0.07,-1.0,-1.0,349.0,444.0,78.6,5395.0,1285.0,194.0,223.0,87.0,117.0,146.0,80.1,26.0,44.0,59.1,-0.6,15.0,19.0,8.0,2.0,30.0,435.0,9.0,2.0,1.0,76.0,5.0,22.0,1.0,1.0,0.0,0.0,347.0,42.0,55.0,400.0,17.0,15.0,5.0,3.0,2.0,7.0,12.0,18.0,42.0,2.43,28.0,0.0,3.0,8.0,2.0,4.0,0.23,3.0,0.0,1.0,0.0,0.0,0.0,54.0,32.0,26.0,20.0,8.0,13.0,45.0,28.9,32.0,397.0,99.0,24.9,121.0,152.0,124.0,19.0,1.0,1.0,18.0,22.0,11.0,0.0,659.0,21.0,138.0,280.0,291.0,50.0,652.0,17.0,34.0,50.0,23.0,2.0,467.0,2877.0,1345.0,69.0,17.0,10.0,584.0,410.0,70.2,24.0,33.0,0.0,20.0,25.0,9.0,0.0,0.0,0.0,117.0,5.0,17.0,22.7
Marcos Alonso,es ESP,DF,Chelsea,31-135,1990,27.0,24.0,2077.0,3.0,4.0,0.0,0.0,8.0,0.0,0.13,0.17,0.3,0.13,0.3,3.2,3.2,4.5,0.14,0.19,0.33,0.14,0.33,23.1,42.0,9.0,9.0,21.4,1.82,0.39,0.07,0.33,0.08,-0.2,-0.2,1080.0,1390.0,77.7,18785.0,6515.0,530.0,599.0,88.5,428.0,511.0,83.8,103.0,223.0,46.2,-0.5,42.0,67.0,32.0,14.0,106.0,1107.0,283.0,26.0,1.0,223.0,47.0,62.0,60.0,32.0,23.0,0.0,826.0,283.0,281.0,1011.0,105.0,34.0,197.0,3.0,3.0,24.0,47.0,40.0,83.0,3.6,59.0,13.0,3.0,5.0,1.0,9.0,0.39,7.0,1.0,0.0,1.0,0.0,0.0,44.0,28.0,21.0,13.0,10.0,14.0,29.0,48.3,15.0,286.0,83.0,29.0,121.0,91.0,74.0,36.0,6.0,0.0,30.0,66.0,54.0,0.0,1710.0,74.0,438.0,617.0,735.0,75.0,1425.0,17.0,37.0,45.9,18.0,2.0,999.0,4734.0,2521.0,120.0,28.0,11.0,1129.0,991.0,87.8,27.0,29.0,0.0,31.0,33.0,3.0,0.0,1.0,0.0,203.0,57.0,25.0,69.5
Steven Alzate,co COL,MF,Brighton,23-246,1998,9.0,5.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,4.5,1.0,1.0,0.0,100.0,0.22,0.22,0.0,0.0,0.07,-0.1,-0.1,207.0,234.0,88.5,3619.0,900.0,92.0,102.0,90.2,85.0,90.0,94.4,24.0,32.0,75.0,-0.2,3.0,17.0,3.0,1.0,17.0,231.0,3.0,2.0,0.0,33.0,4.0,2.0,0.0,0.0,0.0,0.0,178.0,24.0,32.0,15.0,199.0,12.0,1.0,0.0,0.0,2.0,6.0,3.0,7.0,1.56,7.0,0.0,0.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,3.0,5.0,1.0,3.0,5.0,60.0,2.0,79.0,20.0,25.3,30.0,37.0,12.0,5.0,1.0,0.0,4.0,14.0,10.0,0.0,287.0,16.0,81.0,168.0,56.0,4.0,285.0,5.0,6.0,83.3,5.0,1.0,185.0,759.0,403.0,20.0,8.0,1.0,188.0,175.0,93.1,5.0,4.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,61.0,7.0,12.0,36.8
Daniel Amartey,gh GHA,DF,Leicester City,27-142,1994,25.0,22.0,1990.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.01,0.0,0.01,22.1,2.0,1.0,0.0,50.0,0.09,0.05,0.0,0.0,0.02,0.0,0.0,1269.0,1385.0,91.6,26030.0,7328.0,379.0,401.0,94.5,704.0,738.0,95.4,175.0,218.0,80.3,-0.2,3.0,51.0,0.0,0.0,53.0,1361.0,24.0,17.0,0.0,132.0,21.0,0.0,0.0,0.0,0.0,0.0,1193.0,72.0,120.0,121.0,1183.0,52.0,6.0,3.0,2.0,9.0,20.0,17.0,16.0,0.72,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,14.0,9.0,1.0,16.0,31.0,51.6,15.0,164.0,54.0,32.9,91.0,65.0,8.0,43.0,21.0,1.0,22.0,30.0,103.0,2.0,1600.0,248.0,842.0,788.0,57.0,6.0,1578.0,5.0,7.0,71.4,5.0,0.0,1110.0,4867.0,2765.0,58.0,18.0,0.0,1184.0,1160.0,98.0,4.0,2.0,0.0,16.0,9.0,1.0,0.0,0.0,0.0,201.0,44.0,38.0,53.7
Joachim Andersen,dk DEN,DF,Crystal Palace,25-346,1996,31.0,29.0,2646.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.1,0.1,0.0,0.1,0.5,0.5,1.8,0.02,0.06,0.08,0.02,0.08,29.4,7.0,3.0,1.0,42.9,0.24,0.1,0.0,0.0,0.07,-0.5,-0.5,1669.0,2010.0,83.0,43069.0,12916.0,312.0,349.0,89.4,882.0,942.0,93.6,469.0,704.0,66.6,1.2,16.0,142.0,9.0,2.0,82.0,1935.0,75.0,67.0,2.0,169.0,92.0,9.0,1.0,0.0,0.0,1.0,1340.0,144.0,526.0,165.0,1689.0,96.0,4.0,7.0,4.0,48.0,44.0,12.0,28.0,0.95,24.0,1.0,0.0,1.0,0.0,5.0,0.17,4.0,0.0,0.0,1.0,0.0,0.0,34.0,22.0,25.0,9.0,0.0,14.0,27.0,51.9,13.0,145.0,51.0,35.2,88.0,50.0,7.0,36.0,17.0,0.0,19.0,58.0,142.0,2.0,2298.0,449.0,1416.0,941.0,73.0,27.0,2223.0,6.0,8.0,75.0,6.0,0.0,1462.0,8345.0,3972.0,61.0,5.0,2.0,1666.0,1648.0,98.9,2.0,8.0,0.0,18.0,8.0,1.0,0.0,0.0,1.0,249.0,78.0,38.0,67.2
