squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arminia,26.0,40.4,33.0,363.0,2970.0,25.0,17.0,2.0,2.0,54.0,2.0,0.76,0.52,1.27,0.7,1.21,26.9,25.4,18.4,0.81,0.56,1.37,0.77,1.32,33.0,33.0,2970.0,52.0,1.58,166.0,119.0,72.9,5.0,12.0,16.0,7.0,21.2,7.0,7.0,0.0,0.0,33.0,1.0,7.0,2.0,57.5,0.31,7.5,0.23,466.0,972.0,47.9,1405.0,80.0,55.3,44.7,312.0,62.5,50.0,320.0,11.0,3.4,36.0,1.09,15.9,354.0,107.0,10.0,30.2,10.73,3.24,0.06,0.21,0.07,-1.9,-2.4,9215.0,12969.0,71.1,199271.0,83451.0,3272.0,4045.0,80.9,4005.0,5042.0,79.4,1754.0,3273.0,53.6,-1.4,239.0,747.0,198.0,55.0,819.0,11314.0,1655.0,381.0,14.0,2313.0,316.0,277.0,146.0,63.0,48.0,3.0,7215.0,1913.0,3841.0,3335.0,7213.0,846.0,723.0,160.0,45.0,286.0,450.0,425.0,498.0,15.09,351.0,47.0,30.0,27.0,26.0,36.0,1.09,27.0,2.0,1.0,3.0,3.0,0.0,602.0,362.0,302.0,247.0,53.0,191.0,482.0,39.6,291.0,5502.0,1653.0,30.0,1714.0,2492.0,1296.0,527.0,117.0,2.0,410.0,586.0,871.0,11.0,17170.0,2451.0,6766.0,7293.0,4002.0,622.0,15557.0,282.0,557.0,50.6,316.0,37.0,9231.0,45973.0,24314.0,857.0,230.0,106.0,11473.0,9215.0,80.3,463.0,435.0,1.0,466.0,327.0,50.0,2.0,7.0,2.0,3084.0,794.0,860.0,48.0
Augsburg,26.0,40.9,33.0,363.0,2970.0,37.0,25.0,4.0,4.0,72.0,0.0,1.12,0.76,1.88,1.0,1.76,36.3,33.3,21.9,1.1,0.66,1.76,1.01,1.67,33.0,33.0,2970.0,55.0,1.67,148.0,97.0,66.2,9.0,8.0,16.0,9.0,27.3,5.0,5.0,0.0,0.0,33.0,1.0,3.0,2.0,51.2,0.32,-1.8,-0.05,254.0,643.0,39.5,933.0,137.0,49.0,40.5,280.0,66.4,50.6,303.0,20.0,6.6,33.0,1.0,15.8,357.0,114.0,11.0,31.9,10.82,3.45,0.09,0.29,0.1,0.7,-0.3,9011.0,12576.0,71.7,193627.0,75193.0,3239.0,3959.0,81.8,3802.0,4760.0,79.9,1810.0,3303.0,54.8,3.1,243.0,665.0,234.0,87.0,812.0,10893.0,1683.0,402.0,12.0,2184.0,454.0,393.0,142.0,56.0,79.0,1.0,6969.0,1991.0,3616.0,2805.0,7576.0,699.0,769.0,208.0,65.0,317.0,465.0,385.0,507.0,15.36,362.0,56.0,17.0,27.0,24.0,49.0,1.48,30.0,6.0,2.0,8.0,3.0,0.0,609.0,354.0,291.0,236.0,82.0,197.0,548.0,35.9,351.0,5458.0,1575.0,28.9,1810.0,2487.0,1161.0,584.0,125.0,2.0,459.0,580.0,773.0,8.0,16744.0,2379.0,6649.0,7153.0,3920.0,672.0,15108.0,244.0,494.0,49.4,262.0,28.0,9067.0,50198.0,25294.0,831.0,278.0,74.0,11457.0,9011.0,78.7,467.0,353.0,0.0,503.0,374.0,72.0,3.0,5.0,2.0,2907.0,670.0,733.0,47.8
Bayern Munich,29.0,64.8,33.0,363.0,2970.0,90.0,68.0,5.0,5.0,34.0,2.0,2.73,2.06,4.79,2.58,4.64,85.6,81.9,61.1,2.59,1.85,4.45,2.48,4.33,33.0,33.0,2970.0,35.0,1.06,110.0,78.0,70.0,24.0,4.0,5.0,11.0,33.3,2.0,2.0,0.0,0.0,33.0,1.0,2.0,1.0,32.9,0.28,-1.1,-0.03,191.0,341.0,56.0,1242.0,189.0,25.1,30.2,199.0,14.6,26.5,224.0,17.0,7.6,49.0,1.48,19.7,647.0,247.0,12.0,38.2,19.61,7.48,0.13,0.34,0.13,4.4,3.1,19590.0,23035.0,85.0,370415.0,120712.0,8032.0,8962.0,89.6,8665.0,9711.0,89.2,2550.0,3595.0,70.9,6.9,481.0,1499.0,482.0,95.0,1796.0,21425.0,1610.0,432.0,50.0,3306.0,558.0,474.0,202.0,97.0,71.0,7.0,17330.0,2565.0,3140.0,6338.0,14642.0,670.0,707.0,314.0,61.0,254.0,751.0,430.0,1013.0,30.7,766.0,80.0,46.0,61.0,37.0,149.0,4.52,116.0,12.0,6.0,9.0,4.0,2.0,605.0,379.0,244.0,255.0,106.0,243.0,544.0,44.7,301.0,4828.0,1701.0,35.2,1306.0,2105.0,1417.0,479.0,78.0,0.0,401.0,520.0,415.0,12.0,27007.0,2216.0,7694.0,13527.0,7541.0,1343.0,25468.0,420.0,732.0,57.4,449.0,49.0,18737.0,92825.0,50227.0,2052.0,628.0,215.0,22002.0,19590.0,89.0,473.0,422.0,0.0,332.0,427.0,74.0,1.0,2.0,1.0,3280.0,533.0,462.0,53.6
Bochum,27.0,44.1,33.0,363.0,2970.0,35.0,20.0,4.0,6.0,53.0,2.0,1.06,0.61,1.67,0.94,1.55,40.7,36.1,26.2,1.24,0.8,2.04,1.1,1.9,33.0,33.0,2970.0,49.0,1.48,157.0,115.0,71.3,12.0,6.0,14.0,7.0,21.2,7.0,4.0,2.0,1.0,33.0,1.0,6.0,4.0,55.2,0.33,10.2,0.31,587.0,1214.0,48.4,1467.0,108.0,69.3,49.1,271.0,72.7,52.1,270.0,26.0,9.6,62.0,1.88,17.9,405.0,137.0,17.0,33.8,12.27,4.15,0.08,0.23,0.09,-5.7,-5.1,9477.0,13242.0,71.6,218760.0,85987.0,3023.0,3757.0,80.5,3983.0,4923.0,80.9,2284.0,4030.0,56.7,-6.2,277.0,750.0,187.0,75.0,805.0,11573.0,1669.0,426.0,21.0,2186.0,451.0,396.0,126.0,52.0,51.0,3.0,6936.0,2007.0,4299.0,4053.0,6708.0,821.0,764.0,216.0,69.0,340.0,463.0,364.0,595.0,18.15,401.0,65.0,26.0,33.0,46.0,53.0,1.62,35.0,5.0,3.0,4.0,5.0,1.0,652.0,405.0,344.0,232.0,76.0,238.0,556.0,42.8,318.0,5545.0,1696.0,30.6,1800.0,2379.0,1366.0,547.0,142.0,7.0,405.0,667.0,749.0,7.0,17470.0,2545.0,6994.0,7337.0,4125.0,648.0,15836.0,234.0,444.0,52.7,261.0,20.0,9576.0,52030.0,26366.0,886.0,309.0,115.0,11861.0,9477.0,79.9,479.0,382.0,0.0,463.0,409.0,74.0,4.0,6.0,4.0,2975.0,745.0,739.0,50.2
Dortmund,32.0,59.1,33.0,363.0,2970.0,79.0,56.0,10.0,10.0,63.0,1.0,2.39,1.7,4.09,2.09,3.79,61.5,53.9,42.5,1.86,1.29,3.15,1.63,2.92,33.0,33.0,2970.0,51.0,1.55,128.0,84.0,64.1,21.0,3.0,9.0,7.0,21.2,5.0,5.0,0.0,0.0,33.0,2.0,7.0,2.0,45.3,0.32,-3.7,-0.11,123.0,315.0,39.0,984.0,165.0,24.0,30.2,213.0,37.1,36.5,221.0,26.0,11.8,32.0,0.97,15.8,435.0,164.0,17.0,37.7,13.18,4.97,0.16,0.42,0.13,17.5,15.1,16968.0,20340.0,83.4,319165.0,102546.0,6892.0,7795.0,88.4,7564.0,8503.0,89.0,2171.0,3273.0,66.3,13.5,319.0,1065.0,293.0,47.0,1369.0,18764.0,1576.0,439.0,39.0,2994.0,440.0,319.0,179.0,73.0,75.0,4.0,15297.0,2189.0,2854.0,5477.0,12936.0,640.0,653.0,273.0,61.0,241.0,661.0,431.0,703.0,21.3,495.0,64.0,40.0,45.0,42.0,130.0,3.94,86.0,7.0,11.0,9.0,12.0,5.0,605.0,392.0,269.0,252.0,84.0,210.0,513.0,40.9,303.0,5039.0,1696.0,33.7,1439.0,2252.0,1348.0,502.0,92.0,1.0,410.0,500.0,538.0,9.0,24265.0,2372.0,7987.0,12259.0,5533.0,882.0,22738.0,309.0,587.0,52.6,344.0,25.0,15908.0,77940.0,40401.0,1584.0,453.0,153.0,19247.0,16968.0,88.2,434.0,389.0,1.0,384.0,431.0,72.0,6.0,5.0,2.0,2980.0,519.0,458.0,53.1
Eint Frankfurt,27.0,49.6,33.0,363.0,2970.0,41.0,32.0,1.0,2.0,61.0,1.0,1.24,0.97,2.21,1.21,2.18,42.5,41.0,31.4,1.29,0.95,2.24,1.24,2.2,33.0,33.0,2970.0,47.0,1.42,160.0,116.0,73.1,10.0,11.0,12.0,5.0,15.2,4.0,4.0,0.0,0.0,33.0,0.0,4.0,1.0,46.9,0.28,0.9,0.03,198.0,618.0,32.0,1017.0,148.0,47.4,38.0,255.0,53.3,45.1,283.0,14.0,4.9,32.0,0.97,15.5,434.0,132.0,13.0,30.4,13.15,4.0,0.09,0.3,0.1,-1.5,-1.0,12433.0,16417.0,75.7,251900.0,89585.0,4605.0,5465.0,84.3,5691.0,6805.0,83.6,1939.0,3512.0,55.2,0.6,315.0,877.0,242.0,81.0,1101.0,14713.0,1704.0,380.0,22.0,2540.0,400.0,430.0,189.0,74.0,85.0,10.0,10394.0,2333.0,3690.0,5623.0,8503.0,733.0,798.0,246.0,45.0,310.0,587.0,476.0,639.0,19.36,441.0,83.0,25.0,43.0,31.0,64.0,1.94,41.0,7.0,3.0,7.0,5.0,1.0,648.0,395.0,292.0,262.0,94.0,232.0,601.0,38.6,369.0,5778.0,1843.0,31.9,1682.0,2660.0,1436.0,576.0,107.0,7.0,469.0,547.0,678.0,7.0,20619.0,2411.0,7294.0,9724.0,4768.0,747.0,18961.0,266.0,508.0,52.4,300.0,34.0,12261.0,62421.0,32112.0,1236.0,393.0,133.0,14822.0,12433.0,83.9,505.0,390.0,1.0,485.0,324.0,51.0,1.0,4.0,1.0,3337.0,671.0,745.0,47.4
Freiburg,26.0,49.2,33.0,363.0,2970.0,54.0,36.0,5.0,6.0,31.0,0.0,1.64,1.09,2.73,1.48,2.58,49.0,44.5,32.0,1.48,0.97,2.46,1.35,2.32,33.0,33.0,2970.0,44.0,1.33,148.0,107.0,71.6,15.0,10.0,8.0,10.0,30.3,2.0,2.0,0.0,0.0,33.0,1.0,5.0,1.0,40.0,0.27,-3.0,-0.09,310.0,730.0,42.5,1141.0,128.0,47.0,42.4,251.0,77.3,62.4,296.0,17.0,5.7,32.0,0.97,15.5,448.0,153.0,20.0,34.2,13.58,4.64,0.11,0.32,0.1,5.0,4.5,11433.0,15121.0,75.6,237207.0,88384.0,4336.0,5188.0,83.6,4857.0,5780.0,84.0,2018.0,3484.0,57.9,4.0,310.0,830.0,291.0,83.0,1022.0,13545.0,1576.0,417.0,20.0,2647.0,421.0,388.0,171.0,103.0,43.0,4.0,9292.0,2080.0,3749.0,4100.0,8747.0,773.0,653.0,215.0,53.0,294.0,468.0,417.0,678.0,20.55,454.0,92.0,15.0,53.0,53.0,88.0,2.67,55.0,11.0,2.0,8.0,11.0,1.0,575.0,332.0,284.0,214.0,77.0,193.0,467.0,41.3,274.0,4704.0,1461.0,31.1,1516.0,2036.0,1152.0,513.0,144.0,2.0,369.0,504.0,779.0,10.0,19029.0,2492.0,6923.0,8408.0,4851.0,821.0,17474.0,219.0,428.0,51.2,242.0,22.0,10929.0,56601.0,29601.0,983.0,324.0,86.0,13691.0,11433.0,83.5,391.0,317.0,0.0,422.0,414.0,58.0,4.0,2.0,1.0,3048.0,828.0,754.0,52.3
Greuther Fürth,29.0,43.2,33.0,363.0,2970.0,25.0,14.0,5.0,5.0,58.0,0.0,0.76,0.42,1.18,0.61,1.03,30.1,26.4,17.6,0.91,0.53,1.45,0.8,1.34,33.0,33.0,2970.0,80.0,2.42,180.0,106.0,58.3,3.0,9.0,21.0,6.0,18.2,5.0,5.0,0.0,0.0,33.0,1.0,13.0,5.0,65.7,0.35,-9.3,-0.28,262.0,741.0,35.4,1101.0,135.0,49.9,41.9,269.0,71.4,53.0,338.0,22.0,6.5,36.0,1.09,15.7,302.0,90.0,12.0,29.8,9.15,2.73,0.07,0.22,0.09,-5.1,-6.4,10028.0,13495.0,74.3,204516.0,77057.0,3714.0,4409.0,84.2,4471.0,5309.0,84.2,1633.0,3131.0,52.2,-3.6,202.0,673.0,149.0,44.0,855.0,11785.0,1710.0,466.0,17.0,2247.0,268.0,308.0,133.0,84.0,37.0,7.0,8454.0,1794.0,3247.0,3897.0,7582.0,633.0,715.0,203.0,66.0,282.0,454.0,426.0,452.0,13.7,310.0,39.0,33.0,22.0,28.0,34.0,1.03,22.0,2.0,1.0,3.0,5.0,1.0,638.0,358.0,298.0,252.0,88.0,242.0,545.0,44.4,303.0,5443.0,1672.0,30.7,1716.0,2493.0,1234.0,584.0,141.0,1.0,443.0,601.0,745.0,9.0,17728.0,2515.0,6999.0,7810.0,3915.0,555.0,16055.0,270.0,534.0,50.6,289.0,34.0,10056.0,51511.0,25715.0,911.0,283.0,98.0,12241.0,10028.0,81.9,497.0,407.0,0.0,476.0,460.0,69.0,3.0,5.0,5.0,2789.0,557.0,729.0,43.3
Hertha BSC,36.0,44.0,33.0,363.0,2970.0,34.0,23.0,2.0,2.0,60.0,2.0,1.03,0.7,1.73,0.97,1.67,33.1,31.6,23.5,1.0,0.71,1.72,0.96,1.67,33.0,33.0,2970.0,69.0,2.09,163.0,100.0,62.0,9.0,6.0,18.0,6.0,18.2,7.0,7.0,0.0,0.0,33.0,1.0,12.0,0.0,63.7,0.36,-5.3,-0.16,234.0,559.0,41.9,872.0,176.0,43.2,38.4,268.0,67.9,51.4,338.0,19.0,5.6,20.0,0.61,13.3,367.0,119.0,15.0,32.4,11.12,3.61,0.09,0.27,0.09,0.9,0.4,10333.0,13814.0,74.8,205839.0,79353.0,4119.0,4889.0,84.3,4333.0,5234.0,82.8,1667.0,3045.0,54.7,-0.5,260.0,632.0,192.0,51.0,834.0,12070.0,1744.0,509.0,18.0,2454.0,391.0,316.0,140.0,59.0,65.0,5.0,8232.0,2171.0,3411.0,3388.0,8163.0,784.0,722.0,265.0,61.0,302.0,481.0,413.0,545.0,16.52,361.0,74.0,24.0,32.0,37.0,50.0,1.52,28.0,7.0,1.0,4.0,6.0,4.0,616.0,360.0,333.0,219.0,64.0,218.0,512.0,42.6,294.0,4915.0,1461.0,29.7,1808.0,2171.0,936.0,576.0,114.0,4.0,462.0,522.0,766.0,14.0,18004.0,2406.0,7400.0,7861.0,3778.0,587.0,16333.0,231.0,478.0,48.3,255.0,23.0,9956.0,51118.0,26399.0,897.0,298.0,81.0,12737.0,10333.0,81.1,415.0,415.0,0.0,457.0,471.0,70.0,2.0,6.0,0.0,2862.0,670.0,660.0,50.4
Hoffenheim,29.0,53.8,33.0,363.0,2970.0,54.0,41.0,0.0,0.0,73.0,0.0,1.64,1.24,2.88,1.64,2.88,53.6,53.6,40.7,1.63,1.23,2.86,1.63,2.86,33.0,33.0,2970.0,55.0,1.67,153.0,100.0,64.7,13.0,7.0,13.0,8.0,24.2,3.0,1.0,1.0,1.0,33.0,0.0,9.0,1.0,53.1,0.34,-0.9,-0.03,171.0,459.0,37.3,1318.0,171.0,30.3,32.5,213.0,27.7,30.5,274.0,24.0,8.8,43.0,1.3,15.9,444.0,145.0,12.0,32.7,13.45,4.39,0.12,0.37,0.12,0.4,0.4,14007.0,17571.0,79.7,279237.0,97114.0,5355.0,6196.0,86.4,6202.0,7131.0,87.0,2200.0,3550.0,62.0,0.3,311.0,956.0,345.0,115.0,1219.0,15842.0,1729.0,441.0,27.0,2834.0,470.0,484.0,188.0,89.0,45.0,7.0,11779.0,2431.0,3361.0,4408.0,10920.0,743.0,783.0,280.0,63.0,329.0,543.0,464.0,676.0,20.48,504.0,57.0,29.0,48.0,21.0,90.0,2.73,73.0,2.0,3.0,9.0,0.0,3.0,577.0,360.0,244.0,230.0,103.0,214.0,466.0,45.9,252.0,4861.0,1600.0,32.9,1284.0,2212.0,1365.0,510.0,93.0,1.0,417.0,437.0,593.0,12.0,21383.0,2609.0,7801.0,9467.0,5326.0,925.0,19716.0,215.0,440.0,48.9,235.0,23.0,12995.0,67029.0,35012.0,1202.0,328.0,150.0,16202.0,14007.0,86.5,472.0,357.0,0.0,467.0,377.0,69.0,0.0,3.0,1.0,2937.0,589.0,678.0,46.5
