squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alavés,32.0,41.8,36.0,396.0,3240.0,28.0,19.0,6.0,7.0,86.0,3.0,0.78,0.53,1.31,0.61,1.14,36.2,30.9,22.0,1.0,0.61,1.62,0.86,1.47,36.0,36.0,3240.0,61.0,1.69,147.0,91.0,62.6,8.0,7.0,21.0,6.0,16.7,9.0,6.0,3.0,0.0,36.0,0.0,10.0,0.0,55.0,0.33,-6.0,-0.17,392.0,798.0,49.1,762.0,83.0,71.4,50.8,331.0,76.7,53.9,363.0,32.0,8.8,26.0,0.72,14.5,365.0,106.0,10.0,29.0,10.14,2.94,0.06,0.21,0.09,-8.2,-8.9,9301.0,13388.0,69.5,205483.0,85293.0,3484.0,4356.0,80.0,3791.0,4852.0,78.1,1884.0,3647.0,51.7,-3.0,238.0,763.0,190.0,74.0,790.0,11526.0,1862.0,520.0,9.0,2322.0,568.0,474.0,131.0,47.0,60.0,4.0,6786.0,2134.0,4468.0,3416.0,7120.0,998.0,783.0,180.0,62.0,379.0,402.0,422.0,513.0,14.25,317.0,77.0,25.0,36.0,39.0,46.0,1.28,23.0,7.0,3.0,5.0,5.0,3.0,582.0,332.0,284.0,229.0,69.0,227.0,586.0,38.7,359.0,5594.0,1464.0,26.2,1817.0,2574.0,1203.0,579.0,117.0,2.0,462.0,509.0,918.0,9.0,17610.0,2274.0,5961.0,8218.0,4235.0,627.0,15783.0,244.0,480.0,50.8,268.0,38.0,8864.0,41796.0,21588.0,842.0,249.0,96.0,11848.0,9301.0,78.5,436.0,314.0,2.0,590.0,477.0,68.0,6.0,9.0,0.0,3221.0,998.0,787.0,55.9
Athletic Club,25.0,48.6,36.0,396.0,3240.0,38.0,32.0,3.0,7.0,87.0,4.0,1.06,0.89,1.94,0.97,1.86,48.0,42.5,34.3,1.33,0.95,2.28,1.18,2.13,36.0,36.0,3240.0,35.0,0.97,122.0,86.0,73.8,13.0,13.0,10.0,12.0,33.3,3.0,3.0,0.0,0.0,36.0,0.0,2.0,1.0,34.0,0.27,0.0,0.0,176.0,420.0,41.9,714.0,185.0,41.9,37.3,251.0,48.2,42.7,378.0,25.0,6.6,25.0,0.69,15.4,439.0,140.0,10.0,31.9,12.19,3.89,0.08,0.25,0.1,-10.0,-7.5,12523.0,16448.0,76.1,245489.0,92306.0,5066.0,5923.0,85.5,5335.0,6461.0,82.6,1870.0,3392.0,55.1,-2.3,321.0,1001.0,300.0,81.0,1283.0,14532.0,1916.0,536.0,23.0,2387.0,541.0,502.0,214.0,50.0,94.0,6.0,10216.0,2334.0,3898.0,3772.0,10230.0,813.0,845.0,297.0,74.0,414.0,550.0,439.0,688.0,19.11,459.0,87.0,38.0,34.0,47.0,67.0,1.86,46.0,6.0,5.0,2.0,5.0,3.0,547.0,357.0,230.0,230.0,87.0,203.0,517.0,39.3,314.0,5207.0,1466.0,28.2,1309.0,2463.0,1435.0,567.0,130.0,2.0,437.0,462.0,737.0,5.0,20501.0,2125.0,6125.0,9779.0,5749.0,868.0,18652.0,260.0,514.0,50.6,291.0,41.0,12015.0,61792.0,33331.0,1407.0,443.0,142.0,14769.0,12523.0,84.8,448.0,388.0,3.0,546.0,535.0,84.0,5.0,3.0,1.0,3221.0,654.0,673.0,49.3
Atlético Madrid,26.0,51.2,36.0,396.0,3240.0,60.0,42.0,4.0,5.0,107.0,7.0,1.67,1.17,2.83,1.56,2.72,51.0,47.2,36.2,1.42,1.01,2.42,1.31,2.31,36.0,36.0,3240.0,41.0,1.14,89.0,57.0,61.8,20.0,7.0,9.0,12.0,33.3,8.0,7.0,1.0,0.0,36.0,2.0,3.0,3.0,32.1,0.28,-5.9,-0.17,186.0,589.0,31.6,765.0,144.0,54.4,43.4,263.0,65.8,50.1,279.0,19.0,6.8,14.0,0.39,13.9,441.0,142.0,9.0,32.2,12.25,3.94,0.13,0.39,0.11,9.0,8.8,14723.0,18395.0,80.0,279108.0,93089.0,6450.0,7244.0,89.0,5804.0,6743.0,86.1,2093.0,3624.0,57.8,5.8,328.0,1070.0,325.0,73.0,1217.0,16559.0,1836.0,509.0,31.0,2548.0,611.0,468.0,195.0,64.0,81.0,4.0,12094.0,2537.0,3764.0,4752.0,11347.0,727.0,792.0,272.0,75.0,337.0,566.0,413.0,684.0,19.0,497.0,74.0,37.0,32.0,31.0,96.0,2.67,73.0,5.0,4.0,7.0,3.0,4.0,630.0,373.0,288.0,267.0,75.0,247.0,573.0,43.1,326.0,5080.0,1578.0,31.1,1616.0,2273.0,1191.0,487.0,107.0,1.0,380.0,445.0,649.0,8.0,22294.0,2068.0,6962.0,10726.0,5894.0,944.0,20532.0,312.0,545.0,57.2,331.0,25.0,14361.0,70799.0,38716.0,1588.0,458.0,145.0,17185.0,14723.0,85.7,436.0,370.0,3.0,503.0,574.0,82.0,4.0,8.0,2.0,3053.0,643.0,589.0,52.2
Barcelona,37.0,64.4,36.0,396.0,3240.0,68.0,52.0,6.0,7.0,92.0,5.0,1.89,1.44,3.33,1.72,3.17,61.1,55.7,43.5,1.7,1.21,2.91,1.55,2.76,36.0,36.0,3240.0,36.0,1.0,118.0,84.0,71.2,21.0,9.0,6.0,10.0,27.8,3.0,2.0,1.0,0.0,36.0,1.0,7.0,0.0,36.0,0.29,0.0,0.0,227.0,391.0,58.1,1133.0,154.0,27.5,30.4,220.0,35.9,34.7,231.0,14.0,6.1,9.0,0.25,13.0,500.0,174.0,14.0,34.8,13.89,4.83,0.12,0.36,0.11,6.9,6.3,20180.0,23345.0,86.4,379586.0,112660.0,8558.0,9321.0,91.8,8583.0,9506.0,90.3,2679.0,3754.0,71.4,8.5,383.0,1611.0,390.0,85.0,1585.0,21603.0,1742.0,551.0,63.0,2805.0,663.0,546.0,202.0,55.0,75.0,10.0,17933.0,2286.0,3126.0,5520.0,16001.0,566.0,684.0,231.0,83.0,264.0,549.0,390.0,819.0,22.75,638.0,57.0,46.0,28.0,37.0,113.0,3.14,87.0,5.0,7.0,8.0,6.0,0.0,595.0,399.0,246.0,256.0,93.0,221.0,484.0,45.7,263.0,5021.0,1600.0,31.9,1383.0,2344.0,1294.0,506.0,93.0,1.0,413.0,440.0,475.0,13.0,27326.0,2395.0,7496.0,13848.0,7756.0,1151.0,25652.0,389.0,653.0,59.6,417.0,26.0,19251.0,95758.0,55499.0,2299.0,593.0,252.0,22417.0,20180.0,90.0,498.0,431.0,3.0,530.0,601.0,93.0,6.0,3.0,0.0,2898.0,505.0,455.0,52.6
Betis,31.0,54.1,36.0,396.0,3240.0,59.0,43.0,6.0,6.0,87.0,6.0,1.64,1.19,2.83,1.47,2.67,51.9,47.3,35.4,1.44,0.98,2.42,1.31,2.3,36.0,36.0,3240.0,40.0,1.11,120.0,84.0,69.2,18.0,7.0,11.0,11.0,30.6,3.0,3.0,0.0,0.0,36.0,0.0,4.0,2.0,40.9,0.32,2.9,0.08,229.0,575.0,39.8,907.0,138.0,47.4,40.4,246.0,58.9,47.4,347.0,13.0,3.7,26.0,0.72,13.7,490.0,175.0,20.0,35.7,13.61,4.86,0.11,0.3,0.1,7.1,5.7,14852.0,18270.0,81.3,287073.0,94233.0,6185.0,6925.0,89.3,6136.0,7025.0,87.3,2179.0,3559.0,61.2,7.6,373.0,1065.0,300.0,48.0,1179.0,16505.0,1765.0,562.0,27.0,2469.0,544.0,358.0,164.0,47.0,72.0,6.0,12615.0,2179.0,3476.0,7317.0,8914.0,696.0,718.0,227.0,62.0,322.0,492.0,404.0,798.0,22.17,579.0,70.0,44.0,33.0,45.0,93.0,2.58,63.0,5.0,7.0,5.0,11.0,2.0,646.0,408.0,308.0,247.0,91.0,266.0,615.0,43.3,349.0,5017.0,1434.0,28.6,1611.0,2302.0,1104.0,545.0,114.0,1.0,431.0,502.0,766.0,13.0,22544.0,2366.0,7168.0,10827.0,5831.0,910.0,20851.0,331.0,593.0,55.8,367.0,29.0,14530.0,71093.0,37340.0,1513.0,426.0,167.0,17106.0,14852.0,86.8,441.0,389.0,1.0,524.0,537.0,70.0,4.0,3.0,2.0,2925.0,577.0,596.0,49.2
Cádiz,33.0,40.7,36.0,396.0,3240.0,33.0,20.0,3.0,5.0,98.0,3.0,0.92,0.56,1.47,0.83,1.39,36.1,32.2,22.1,1.03,0.63,1.66,0.92,1.55,36.0,36.0,3240.0,50.0,1.39,150.0,109.0,74.0,7.0,14.0,15.0,12.0,33.3,13.0,11.0,2.0,0.0,36.0,0.0,10.0,0.0,48.1,0.27,1.1,0.03,288.0,773.0,37.3,777.0,102.0,68.3,52.3,288.0,84.0,64.4,346.0,35.0,10.1,16.0,0.46,13.4,375.0,108.0,12.0,28.8,10.42,3.0,0.08,0.28,0.09,-3.1,-2.2,9321.0,13040.0,71.5,200464.0,74957.0,3530.0,4196.0,84.1,3765.0,4659.0,80.8,1858.0,3642.0,51.0,-2.1,243.0,721.0,211.0,96.0,768.0,11311.0,1729.0,478.0,14.0,1961.0,582.0,550.0,155.0,62.0,61.0,6.0,7286.0,1880.0,3874.0,2686.0,8143.0,707.0,728.0,182.0,52.0,352.0,412.0,379.0,531.0,15.17,354.0,64.0,27.0,36.0,28.0,52.0,1.49,30.0,6.0,2.0,5.0,5.0,4.0,641.0,426.0,365.0,213.0,63.0,229.0,592.0,38.7,363.0,5534.0,1632.0,29.5,2155.0,2428.0,951.0,514.0,118.0,0.0,396.0,570.0,771.0,9.0,17112.0,2200.0,6293.0,7800.0,4035.0,621.0,15425.0,215.0,431.0,49.9,247.0,32.0,9591.0,53400.0,28664.0,1019.0,347.0,84.0,11482.0,9321.0,81.2,436.0,362.0,3.0,537.0,482.0,66.0,4.0,10.0,0.0,2937.0,668.0,725.0,48.0
Celta Vigo,25.0,55.8,36.0,396.0,3240.0,41.0,27.0,3.0,6.0,82.0,3.0,1.14,0.75,1.89,1.06,1.81,41.0,36.3,25.4,1.14,0.71,1.85,1.01,1.72,36.0,36.0,3240.0,41.0,1.14,124.0,88.0,70.2,11.0,10.0,15.0,13.0,36.1,8.0,4.0,4.0,0.0,36.0,0.0,1.0,1.0,45.5,0.31,5.5,0.15,330.0,806.0,40.9,1118.0,123.0,54.4,44.2,267.0,74.2,55.9,273.0,40.0,14.7,32.0,0.89,15.7,383.0,128.0,14.0,33.4,10.64,3.56,0.1,0.3,0.1,0.0,1.7,15506.0,19585.0,79.2,307968.0,93129.0,6222.0,7121.0,87.4,6417.0,7487.0,85.7,2522.0,4150.0,60.8,1.6,255.0,992.0,284.0,81.0,1097.0,17763.0,1822.0,463.0,29.0,2620.0,580.0,507.0,157.0,66.0,58.0,11.0,13107.0,2516.0,3962.0,6006.0,11092.0,811.0,858.0,229.0,68.0,348.0,558.0,474.0,575.0,15.97,441.0,39.0,19.0,32.0,29.0,68.0,1.89,51.0,2.0,2.0,9.0,1.0,3.0,759.0,466.0,360.0,303.0,96.0,240.0,660.0,36.4,420.0,5994.0,1868.0,31.2,1953.0,2758.0,1283.0,620.0,107.0,2.0,513.0,540.0,671.0,6.0,23798.0,2359.0,7593.0,11888.0,5785.0,767.0,22043.0,260.0,482.0,53.9,285.0,34.0,14842.0,77999.0,42672.0,1657.0,507.0,116.0,18106.0,15506.0,85.6,456.0,365.0,1.0,546.0,508.0,75.0,3.0,7.0,1.0,3229.0,681.0,764.0,47.1
Elche,27.0,48.0,36.0,396.0,3240.0,36.0,27.0,1.0,1.0,100.0,6.0,1.0,0.75,1.75,0.97,1.72,31.6,30.9,25.7,0.88,0.71,1.59,0.86,1.57,36.0,36.0,3240.0,50.0,1.39,160.0,116.0,73.1,10.0,9.0,17.0,8.0,22.2,9.0,7.0,1.0,1.0,36.0,0.0,7.0,0.0,53.8,0.29,3.8,0.11,290.0,685.0,42.3,906.0,162.0,51.0,40.3,330.0,67.6,49.0,396.0,31.0,7.8,33.0,0.92,15.7,307.0,96.0,8.0,31.3,8.53,2.67,0.11,0.36,0.1,4.4,4.1,12245.0,15732.0,77.8,248912.0,89097.0,4819.0,5519.0,87.3,5116.0,5960.0,85.8,2059.0,3597.0,57.2,1.3,232.0,765.0,190.0,73.0,865.0,13883.0,1849.0,568.0,15.0,2150.0,512.0,415.0,142.0,57.0,64.0,3.0,10109.0,2105.0,3518.0,5754.0,7952.0,603.0,725.0,271.0,64.0,322.0,486.0,425.0,469.0,13.03,333.0,50.0,33.0,18.0,20.0,54.0,1.5,37.0,4.0,7.0,2.0,2.0,2.0,576.0,326.0,327.0,189.0,60.0,217.0,529.0,41.0,312.0,4999.0,1328.0,26.6,1882.0,2210.0,907.0,524.0,131.0,3.0,393.0,487.0,788.0,8.0,19836.0,2573.0,7360.0,9345.0,4259.0,516.0,18041.0,279.0,543.0,51.4,302.0,29.0,12173.0,59007.0,29037.0,1132.0,339.0,66.0,14470.0,12245.0,84.6,493.0,387.0,1.0,568.0,511.0,68.0,1.0,10.0,0.0,2722.0,527.0,595.0,47.0
Espanyol,32.0,46.6,36.0,396.0,3240.0,38.0,24.0,5.0,5.0,95.0,7.0,1.06,0.67,1.72,0.92,1.58,36.9,33.1,25.2,1.02,0.7,1.72,0.92,1.62,36.0,36.0,3240.0,52.0,1.44,152.0,104.0,68.4,10.0,10.0,16.0,9.0,25.0,4.0,4.0,0.0,0.0,36.0,0.0,4.0,2.0,46.4,0.28,-3.6,-0.1,186.0,494.0,37.7,857.0,198.0,40.3,37.6,285.0,52.3,42.1,407.0,43.0,10.6,27.0,0.75,14.0,387.0,121.0,24.0,31.3,10.75,3.36,0.09,0.27,0.09,1.1,-0.1,12641.0,15837.0,79.8,244695.0,83585.0,5228.0,5839.0,89.5,5310.0,6094.0,87.1,1834.0,3274.0,56.0,-1.2,282.0,917.0,210.0,62.0,894.0,14082.0,1755.0,572.0,20.0,2472.0,495.0,356.0,167.0,64.0,64.0,2.0,10595.0,1992.0,3250.0,4355.0,9622.0,593.0,616.0,279.0,60.0,260.0,417.0,393.0,618.0,17.17,458.0,49.0,29.0,28.0,37.0,62.0,1.72,41.0,5.0,3.0,7.0,4.0,2.0,569.0,358.0,305.0,205.0,59.0,200.0,520.0,38.5,320.0,4843.0,1333.0,27.5,1911.0,2040.0,892.0,516.0,115.0,2.0,401.0,495.0,859.0,11.0,20049.0,2639.0,7280.0,9434.0,4635.0,621.0,18345.0,306.0,562.0,54.4,332.0,31.0,12518.0,64878.0,33576.0,1272.0,454.0,120.0,14694.0,12641.0,86.0,422.0,404.0,3.0,483.0,575.0,66.0,3.0,4.0,1.0,2639.0,498.0,631.0,44.1
Getafe,31.0,41.5,36.0,396.0,3240.0,31.0,25.0,3.0,5.0,118.0,8.0,0.86,0.69,1.56,0.78,1.47,28.1,24.2,18.3,0.78,0.51,1.29,0.67,1.18,36.0,36.0,3240.0,38.0,1.06,120.0,82.0,70.0,8.0,14.0,14.0,13.0,36.1,4.0,2.0,1.0,1.0,36.0,0.0,5.0,1.0,35.2,0.27,-1.8,-0.05,366.0,868.0,42.2,837.0,87.0,75.9,52.9,277.0,84.1,58.4,343.0,41.0,12.0,29.0,0.81,14.2,387.0,106.0,28.0,27.4,10.75,2.94,0.07,0.26,0.06,2.9,3.8,9821.0,13765.0,71.3,205048.0,80124.0,3974.0,4769.0,83.3,3779.0,4773.0,79.2,1840.0,3606.0,51.0,6.7,267.0,732.0,169.0,60.0,810.0,11915.0,1850.0,565.0,14.0,2315.0,547.0,349.0,128.0,57.0,50.0,10.0,7431.0,1976.0,4358.0,3804.0,7324.0,922.0,807.0,163.0,45.0,309.0,363.0,407.0,596.0,16.56,397.0,63.0,29.0,29.0,53.0,54.0,1.5,38.0,6.0,3.0,2.0,2.0,3.0,612.0,371.0,280.0,251.0,81.0,229.0,545.0,42.0,316.0,5729.0,1581.0,27.6,1632.0,2844.0,1253.0,580.0,96.0,1.0,484.0,588.0,708.0,8.0,17861.0,1999.0,5741.0,8733.0,4266.0,598.0,16045.0,221.0,447.0,49.4,246.0,18.0,9760.0,47429.0,23392.0,963.0,317.0,75.0,12124.0,9821.0,81.0,462.0,342.0,1.0,609.0,512.0,51.0,1.0,4.0,1.0,3058.0,846.0,853.0,49.8
