squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,32.0,54.9,36.0,396.0,3240.0,62.0,43.0,5.0,6.0,82.0,2.0,1.72,1.19,2.92,1.58,2.78,61.5,57.1,45.6,1.71,1.27,2.97,1.59,2.85,36.0,36.0,3239.0,45.0,1.25,125.0,86.0,68.0,16.0,11.0,9.0,10.0,27.8,6.0,5.0,0.0,1.0,36.0,0.0,3.0,3.0,40.4,0.29,-1.6,-0.05,183.0,426.0,43.0,815.0,180.0,32.1,33.7,227.0,72.2,52.6,230.0,23.0,10.0,31.0,0.86,15.1,545.0,157.0,15.0,28.8,15.14,4.36,0.1,0.36,0.11,0.5,-0.1,16324.0,20079.0,81.3,305444.0,99222.0,6998.0,7930.0,88.2,6930.0,7999.0,86.6,2062.0,3337.0,61.8,-2.6,420.0,1175.0,420.0,81.0,1508.0,18291.0,1788.0,524.0,31.0,2749.0,501.0,388.0,208.0,97.0,74.0,11.0,13962.0,2672.0,3445.0,6921.0,10854.0,745.0,748.0,249.0,61.0,320.0,584.0,467.0,873.0,24.25,640.0,82.0,52.0,57.0,29.0,103.0,2.86,81.0,2.0,8.0,8.0,3.0,1.0,655.0,395.0,266.0,283.0,106.0,242.0,576.0,42.0,334.0,5376.0,1726.0,32.1,1496.0,2515.0,1365.0,573.0,105.0,3.0,468.0,529.0,560.0,3.0,24450.0,1974.0,6856.0,11652.0,7485.0,1195.0,22735.0,334.0,628.0,53.2,364.0,27.0,16150.0,83222.0,42573.0,1840.0,569.0,218.0,18604.0,16324.0,87.7,515.0,462.0,1.0,533.0,488.0,65.0,3.0,6.0,3.0,3383.0,774.0,573.0,57.5
Bologna,31.0,50.7,36.0,396.0,3240.0,41.0,30.0,3.0,4.0,91.0,7.0,1.14,0.83,1.97,1.06,1.89,41.4,38.5,30.2,1.15,0.84,1.99,1.07,1.91,36.0,36.0,3240.0,52.0,1.44,164.0,122.0,73.2,11.0,10.0,15.0,12.0,33.3,9.0,8.0,1.0,0.0,36.0,1.0,4.0,2.0,51.8,0.27,1.8,0.05,238.0,527.0,45.2,961.0,158.0,45.3,37.8,287.0,32.1,29.7,357.0,22.0,6.2,6.0,0.17,11.3,423.0,138.0,13.0,32.6,11.75,3.83,0.09,0.28,0.09,-0.4,-0.5,13861.0,17304.0,80.1,262363.0,92565.0,5965.0,6790.0,87.8,5585.0,6519.0,85.7,1988.0,3258.0,61.0,-0.2,327.0,915.0,296.0,94.0,1066.0,15513.0,1791.0,565.0,21.0,2585.0,447.0,389.0,169.0,91.0,21.0,3.0,11549.0,2244.0,3511.0,4638.0,10551.0,762.0,672.0,263.0,43.0,254.0,443.0,426.0,683.0,18.97,529.0,56.0,29.0,31.0,27.0,72.0,2.0,55.0,5.0,4.0,4.0,3.0,1.0,555.0,324.0,281.0,200.0,74.0,196.0,507.0,38.7,311.0,5134.0,1504.0,29.3,1928.0,2093.0,1113.0,533.0,141.0,2.0,392.0,497.0,660.0,6.0,21222.0,2668.0,7466.0,10008.0,5020.0,671.0,19480.0,302.0,543.0,55.6,339.0,28.0,13303.0,67956.0,34241.0,1311.0,428.0,97.0,16179.0,13861.0,85.7,460.0,323.0,4.0,463.0,514.0,47.0,3.0,8.0,2.0,2788.0,548.0,573.0,48.9
Cagliari,33.0,44.3,36.0,396.0,3240.0,33.0,22.0,3.0,4.0,93.0,5.0,0.92,0.61,1.53,0.83,1.44,36.8,34.2,25.5,1.02,0.71,1.73,0.95,1.66,36.0,36.0,3240.0,65.0,1.81,174.0,114.0,66.7,6.0,11.0,19.0,2.0,5.6,10.0,7.0,3.0,0.0,36.0,5.0,10.0,1.0,64.1,0.33,0.1,0.0,345.0,805.0,42.9,928.0,118.0,60.2,44.2,330.0,74.5,51.3,307.0,22.0,7.2,20.0,0.56,14.8,379.0,103.0,17.0,27.2,10.53,2.86,0.08,0.29,0.09,-3.8,-4.2,10939.0,14880.0,73.5,229487.0,84091.0,4007.0,4784.0,83.8,4643.0,5723.0,81.1,2068.0,3737.0,55.3,-3.5,272.0,733.0,217.0,79.0,845.0,13009.0,1871.0,554.0,10.0,2190.0,456.0,410.0,130.0,44.0,62.0,2.0,8510.0,2047.0,4323.0,3768.0,8670.0,799.0,751.0,216.0,59.0,314.0,462.0,413.0,576.0,16.0,397.0,69.0,17.0,44.0,29.0,54.0,1.5,36.0,4.0,3.0,5.0,4.0,2.0,575.0,351.0,274.0,232.0,69.0,174.0,492.0,35.4,318.0,5163.0,1469.0,28.5,1785.0,2269.0,1109.0,558.0,142.0,0.0,416.0,588.0,695.0,3.0,18823.0,2519.0,6886.0,8677.0,4298.0,644.0,17005.0,216.0,393.0,55.0,238.0,17.0,10676.0,56647.0,29114.0,1056.0,348.0,82.0,13412.0,10939.0,81.6,435.0,345.0,3.0,569.0,526.0,67.0,3.0,10.0,1.0,3016.0,822.0,820.0,50.1
Empoli,27.0,47.3,36.0,396.0,3240.0,45.0,21.0,7.0,7.0,83.0,5.0,1.25,0.58,1.83,1.06,1.64,44.1,38.8,27.0,1.22,0.75,1.98,1.08,1.83,36.0,36.0,3240.0,69.0,1.92,192.0,131.0,66.7,9.0,10.0,17.0,6.0,16.7,9.0,5.0,1.0,3.0,36.0,1.0,6.0,6.0,62.3,0.3,-0.7,-0.02,161.0,413.0,39.0,996.0,199.0,30.0,32.0,249.0,45.8,39.7,370.0,33.0,8.9,19.0,0.53,13.5,472.0,144.0,15.0,30.5,13.11,4.0,0.08,0.26,0.08,0.9,-0.8,12309.0,15833.0,77.7,241876.0,89793.0,4812.0,5509.0,87.3,5513.0,6491.0,84.9,1790.0,3164.0,56.6,-6.0,324.0,891.0,341.0,78.0,1215.0,13929.0,1904.0,514.0,10.0,2302.0,361.0,465.0,183.0,50.0,81.0,14.0,10606.0,2087.0,3140.0,4334.0,9644.0,473.0,789.0,256.0,68.0,276.0,522.0,462.0,696.0,19.33,526.0,58.0,26.0,31.0,33.0,68.0,1.89,48.0,4.0,4.0,6.0,6.0,0.0,640.0,397.0,307.0,239.0,94.0,205.0,509.0,40.3,304.0,5603.0,1562.0,27.9,1883.0,2403.0,1317.0,553.0,166.0,5.0,387.0,510.0,706.0,4.0,20012.0,2792.0,7116.0,8788.0,5471.0,884.0,18177.0,224.0,466.0,48.1,247.0,20.0,12276.0,70245.0,38531.0,1400.0,442.0,125.0,14623.0,12309.0,84.2,427.0,434.0,3.0,530.0,505.0,80.0,6.0,8.0,6.0,2830.0,496.0,616.0,44.6
Fiorentina,28.0,57.8,36.0,396.0,3240.0,56.0,29.0,7.0,10.0,83.0,8.0,1.56,0.81,2.36,1.36,2.17,55.4,47.9,35.8,1.54,0.99,2.53,1.33,2.32,36.0,36.0,3238.0,47.0,1.31,113.0,71.0,61.1,18.0,5.0,13.0,10.0,27.8,5.0,3.0,2.0,0.0,36.0,0.0,4.0,2.0,40.3,0.32,-4.7,-0.13,320.0,644.0,49.7,1587.0,153.0,35.2,35.1,201.0,42.3,37.8,213.0,23.0,10.8,40.0,1.11,16.1,479.0,173.0,25.0,36.1,13.31,4.81,0.1,0.28,0.1,0.6,1.1,16476.0,19668.0,83.8,354259.0,106192.0,5366.0,6049.0,88.7,7784.0,8696.0,89.5,3138.0,4343.0,72.3,-6.8,360.0,1040.0,342.0,101.0,1195.0,17917.0,1751.0,623.0,19.0,2563.0,761.0,488.0,183.0,29.0,110.0,3.0,13799.0,2476.0,3393.0,7438.0,10298.0,598.0,663.0,238.0,51.0,267.0,532.0,415.0,797.0,22.14,573.0,73.0,29.0,48.0,55.0,88.0,2.44,57.0,4.0,4.0,11.0,10.0,2.0,522.0,309.0,241.0,204.0,77.0,217.0,494.0,43.9,277.0,4734.0,1453.0,30.7,1254.0,2152.0,1328.0,435.0,94.0,1.0,341.0,456.0,373.0,12.0,23327.0,2613.0,8188.0,10984.0,5777.0,973.0,21621.0,263.0,492.0,53.5,294.0,33.0,15744.0,83619.0,44318.0,1622.0,554.0,184.0,18766.0,16476.0,87.8,451.0,377.0,6.0,473.0,605.0,54.0,7.0,4.0,2.0,2710.0,559.0,535.0,51.1
Genoa,39.0,44.1,36.0,396.0,3240.0,26.0,18.0,6.0,7.0,88.0,3.0,0.72,0.5,1.22,0.56,1.06,35.8,30.5,23.7,0.99,0.66,1.65,0.85,1.51,36.0,36.0,3240.0,56.0,1.56,167.0,114.0,68.3,4.0,16.0,16.0,10.0,27.8,4.0,3.0,1.0,0.0,36.0,3.0,7.0,2.0,50.0,0.3,-4.0,-0.11,283.0,657.0,43.1,912.0,99.0,52.4,40.6,264.0,67.8,46.7,290.0,13.0,4.5,12.0,0.33,12.8,373.0,99.0,10.0,26.5,10.36,2.75,0.05,0.2,0.08,-9.8,-10.5,10862.0,14907.0,72.9,213756.0,80743.0,4434.0,5282.0,83.9,4526.0,5662.0,79.9,1678.0,3263.0,51.4,-5.7,259.0,729.0,197.0,63.0,965.0,13092.0,1815.0,531.0,12.0,2447.0,383.0,374.0,144.0,52.0,71.0,2.0,8619.0,2242.0,4046.0,3596.0,8943.0,804.0,739.0,236.0,59.0,316.0,511.0,445.0,554.0,15.39,380.0,66.0,28.0,29.0,34.0,48.0,1.33,34.0,4.0,2.0,1.0,5.0,2.0,766.0,463.0,337.0,304.0,125.0,319.0,686.0,46.5,367.0,5995.0,1874.0,31.3,1957.0,2650.0,1388.0,696.0,147.0,0.0,549.0,630.0,697.0,8.0,19480.0,2448.0,6929.0,9094.0,4472.0,721.0,17719.0,271.0,525.0,51.6,303.0,28.0,10812.0,53321.0,27677.0,1083.0,330.0,133.0,13439.0,10862.0,80.8,523.0,433.0,2.0,592.0,526.0,66.0,4.0,4.0,2.0,3382.0,720.0,855.0,45.7
Hellas Verona,30.0,50.9,36.0,396.0,3240.0,60.0,36.0,7.0,8.0,91.0,7.0,1.67,1.0,2.67,1.47,2.47,49.5,43.5,32.7,1.37,0.91,2.28,1.21,2.12,36.0,36.0,3240.0,55.0,1.53,144.0,90.0,63.9,14.0,10.0,12.0,4.0,11.1,4.0,3.0,1.0,0.0,36.0,2.0,8.0,2.0,47.3,0.3,-5.7,-0.16,235.0,644.0,36.5,774.0,129.0,62.3,46.0,243.0,66.7,48.2,312.0,17.0,5.4,12.0,0.33,13.2,435.0,141.0,14.0,32.4,12.08,3.92,0.12,0.38,0.1,10.5,9.5,12714.0,16612.0,76.5,244235.0,89383.0,5325.0,6302.0,84.5,5159.0,6214.0,83.0,1910.0,3311.0,57.7,3.3,319.0,941.0,352.0,75.0,1292.0,14916.0,1696.0,440.0,18.0,2714.0,385.0,426.0,158.0,73.0,36.0,6.0,10391.0,2527.0,3694.0,4591.0,9585.0,901.0,739.0,231.0,87.0,349.0,594.0,482.0,682.0,18.94,519.0,55.0,31.0,30.0,29.0,95.0,2.64,78.0,3.0,5.0,3.0,5.0,1.0,586.0,370.0,291.0,219.0,76.0,190.0,489.0,38.9,299.0,5121.0,1631.0,31.8,1763.0,2241.0,1117.0,594.0,107.0,3.0,487.0,535.0,867.0,6.0,21056.0,2266.0,6607.0,9984.0,5715.0,941.0,19392.0,281.0,533.0,52.7,309.0,47.0,12641.0,66815.0,34843.0,1402.0,486.0,174.0,15144.0,12714.0,84.0,497.0,461.0,5.0,561.0,439.0,92.0,6.0,4.0,2.0,3366.0,763.0,800.0,48.8
Inter,27.0,56.4,36.0,396.0,3240.0,77.0,51.0,7.0,11.0,68.0,0.0,2.14,1.42,3.56,1.94,3.36,75.5,67.7,52.3,2.1,1.45,3.55,1.88,3.33,36.0,36.0,3240.0,31.0,0.86,119.0,91.0,77.3,23.0,9.0,4.0,14.0,38.9,4.0,4.0,0.0,0.0,36.0,0.0,3.0,1.0,32.2,0.25,2.2,0.06,205.0,379.0,54.1,1075.0,162.0,31.4,30.9,141.0,29.1,30.3,247.0,15.0,6.1,4.0,0.11,12.1,625.0,220.0,13.0,35.2,17.36,6.11,0.11,0.32,0.11,1.5,2.3,17363.0,20550.0,84.5,337037.0,107341.0,7193.0,7980.0,90.1,7281.0,8167.0,89.2,2553.0,3644.0,70.1,-1.3,467.0,1179.0,465.0,126.0,1445.0,19011.0,1539.0,424.0,36.0,2622.0,650.0,543.0,239.0,70.0,124.0,13.0,14714.0,2466.0,3370.0,5110.0,13475.0,645.0,597.0,287.0,48.0,222.0,553.0,398.0,985.0,27.36,725.0,93.0,43.0,67.0,33.0,122.0,3.39,88.0,12.0,2.0,13.0,6.0,1.0,603.0,391.0,257.0,243.0,103.0,201.0,498.0,40.4,297.0,4666.0,1481.0,31.7,1367.0,2010.0,1289.0,477.0,121.0,2.0,356.0,442.0,488.0,7.0,24344.0,2727.0,8128.0,11108.0,6693.0,1222.0,22853.0,229.0,416.0,55.0,252.0,21.0,16209.0,86365.0,45150.0,1635.0,535.0,183.0,19374.0,17363.0,89.6,400.0,331.0,0.0,492.0,454.0,56.0,7.0,4.0,1.0,2927.0,639.0,546.0,53.9
Juventus,30.0,52.6,36.0,396.0,3240.0,54.0,31.0,5.0,6.0,71.0,2.0,1.5,0.86,2.36,1.36,2.22,50.5,46.0,34.0,1.4,0.95,2.35,1.28,2.22,36.0,36.0,3240.0,33.0,0.92,109.0,79.0,72.5,20.0,9.0,7.0,13.0,36.1,6.0,3.0,3.0,0.0,36.0,2.0,6.0,0.0,36.2,0.29,3.2,0.09,180.0,367.0,49.0,902.0,157.0,33.5,34.2,198.0,32.8,32.2,340.0,23.0,6.8,14.0,0.39,12.8,517.0,166.0,19.0,32.1,14.36,4.61,0.09,0.3,0.09,3.5,3.0,15902.0,18994.0,83.7,326930.0,103040.0,5633.0,6398.0,88.0,7346.0,8189.0,89.7,2690.0,3838.0,70.1,-3.0,377.0,1155.0,312.0,91.0,1234.0,17377.0,1617.0,507.0,18.0,2285.0,658.0,399.0,166.0,68.0,66.0,6.0,13530.0,2306.0,3158.0,6267.0,10903.0,511.0,638.0,275.0,58.0,257.0,497.0,379.0,824.0,22.89,620.0,54.0,36.0,45.0,47.0,87.0,2.42,63.0,4.0,8.0,7.0,5.0,0.0,573.0,367.0,273.0,219.0,81.0,173.0,438.0,39.5,265.0,4895.0,1569.0,32.1,1736.0,2055.0,1104.0,552.0,145.0,1.0,407.0,484.0,645.0,7.0,23158.0,2576.0,7740.0,11340.0,5544.0,948.0,21595.0,274.0,508.0,53.9,306.0,32.0,15140.0,75408.0,39387.0,1520.0,485.0,176.0,17963.0,15902.0,88.5,470.0,406.0,1.0,529.0,524.0,67.0,5.0,5.0,0.0,2875.0,577.0,496.0,53.8
Lazio,26.0,55.4,36.0,396.0,3240.0,70.0,41.0,7.0,9.0,83.0,5.0,1.94,1.14,3.08,1.75,2.89,52.3,45.6,36.0,1.45,1.0,2.45,1.27,2.27,36.0,36.0,3240.0,53.0,1.47,134.0,84.0,64.2,18.0,8.0,10.0,9.0,25.0,6.0,5.0,0.0,1.0,36.0,1.0,6.0,1.0,47.5,0.32,-4.5,-0.13,200.0,372.0,53.8,975.0,155.0,31.9,31.6,214.0,28.5,28.4,298.0,15.0,5.0,16.0,0.44,14.5,411.0,171.0,11.0,41.6,11.42,4.75,0.15,0.37,0.11,17.7,17.4,18785.0,21900.0,85.8,336165.0,105721.0,8672.0,9507.0,91.2,7479.0,8387.0,89.2,2196.0,3188.0,68.9,5.0,315.0,1186.0,322.0,58.0,1177.0,20325.0,1575.0,478.0,33.0,2667.0,481.0,393.0,161.0,66.0,62.0,4.0,16620.0,2429.0,2851.0,4870.0,15219.0,614.0,622.0,246.0,38.0,233.0,557.0,367.0,671.0,18.64,514.0,47.0,29.0,31.0,35.0,112.0,3.11,71.0,10.0,12.0,9.0,8.0,2.0,568.0,327.0,249.0,239.0,80.0,204.0,574.0,35.5,370.0,4911.0,1322.0,26.9,1439.0,2213.0,1259.0,545.0,155.0,3.0,390.0,473.0,586.0,3.0,25730.0,2675.0,8311.0,12987.0,5993.0,864.0,24202.0,308.0,596.0,51.7,336.0,34.0,17585.0,84892.0,45408.0,1690.0,568.0,172.0,20919.0,18785.0,89.8,406.0,343.0,3.0,451.0,466.0,43.0,6.0,6.0,1.0,2700.0,459.0,478.0,49.0
